Date,1990_base,1990_cc_ideal_h5,1995_base,1995_cc_ideal_h5,2000_base,2000_cc_ideal_h5,2005_base,2005_cc_ideal_h5,2010_base,2010_cc_ideal_h5,2015_base,2015_cc_ideal_h5,2020_base,2020_cc_ideal_h5
2015-10-16,29018772.304418724,101003419.825376,11552102.19644433,16803053.89021429,13118220.670193665,23616255.375993304,3443359.124818528,5266625.382133674,2639442.854346856,2788947.7023271825,1012328.3020168038,1014751.6331809615,,
2015-10-23,29449879.40781963,102082039.80903326,11675650.772517413,16959995.956889264,13237184.600064663,23665073.384076554,3435792.70240202,5213435.661431643,2666646.1568324817,2800589.933531028,1041537.3680385957,1043641.4569214565,,
2015-10-30,29635949.279394604,102658469.12083106,11723139.678108243,16999131.643183585,13564172.74460282,23999306.646557257,3471303.7629442704,5262129.453536067,2691730.406514822,2826088.1928487765,1057100.4557311963,1059144.790269263,,
2015-11-06,29555837.885719087,102879215.72367367,11684829.026794856,16911598.30955977,13514088.907479322,24141177.769850567,3435862.517493968,5203421.4445093535,2692962.3359666453,2825868.3819317105,1063560.5007759784,1064113.1289750398,,
2015-11-13,29042016.59747134,101379592.63346712,11381587.170486327,16478288.588058991,12830652.104773829,22886908.581259396,3287712.011227399,5029164.092697222,2587221.393118724,2722681.5046984283,1020962.4627002312,1023217.6289168547,,
2015-11-20,30045115.070652265,104282556.37599233,11769516.598111326,17087025.988907915,13506260.16382332,24159809.142800972,3440007.927471276,5169968.189307612,2682441.2228354537,2809105.0956320306,1042302.0827565804,1043286.9668549579,,
2015-11-27,29774549.919035524,102735236.94979273,11734020.0019514,17095623.473978125,13634570.088071486,24826745.056948874,3463191.806567015,5194812.955849199,2687479.2358659185,2811466.4770761854,1052885.3865932352,1047250.4946950509,,
2015-12-04,29895851.98511382,102865066.44311234,11877015.804063533,17287497.68835383,13559445.33703802,24851381.284872197,3511972.321589997,5264272.621537776,2709999.8466398045,2824120.8412307757,1057700.757543531,1049117.192127962,,
2015-12-11,29233316.70133081,100202775.13116266,11670913.153958945,17006764.75367717,13288826.643478794,24468134.39070581,3459732.2642102586,5203518.261717434,2654355.4363830467,2767304.6138904924,1034097.1300010534,1025169.3009413175,,
2015-12-18,29218156.818055917,99968246.66476993,11668953.445288109,17029067.072206117,13226466.24139789,24481864.89497017,3443031.884172841,5224851.561276296,2643687.8699768363,2768419.8910652287,1029793.2081021536,1023678.9831345814,,
2015-12-25,29568641.578527886,101242002.97893324,11815823.442957295,17257064.49827423,13397816.135021731,24783629.640028402,3507008.085329724,5308269.591799193,2684136.475741242,2811156.597122083,1045298.841972471,1040085.3801550805,,
2016-01-01,28824935.06799485,98786281.05164282,11584605.8638543,16944228.311820913,13282464.959333712,24736468.572861608,3459651.009262416,5264613.907517747,2649952.3829685315,2786091.755821938,1037577.0716541886,1034871.5270394727,,
2016-01-08,27814609.83410472,95574857.28180726,11125777.047049074,16284445.45820985,12716744.078687426,23975795.304528262,3323102.051086057,5063287.375891515,2536775.408827338,2668846.8321755915,990098.938459904,986787.4757052698,,
2016-01-15,27140840.879346453,92961148.03361548,10841890.97256364,15803665.98995204,12586562.255067227,23660655.190760538,3290413.356619044,5036963.744897235,2508711.100427889,2642173.595897573,976725.2592601562,977547.7528911048,,
2016-01-22,27353794.41144072,92634769.57593402,11014122.199597336,16025872.560366547,12881695.160044972,24198901.401871253,3351532.5142686665,5166483.338240903,2573019.8051785924,2715518.9813003843,993773.4644662978,993315.4711007025,,
2016-01-29,28367430.07191724,94679852.75716525,11443819.155314356,16573840.555197008,13544028.719083115,25050349.44810578,3464179.0234950613,5309526.1508277645,2648276.854777914,2789639.0959296143,1002761.161126408,1001501.2743309654,,
2016-02-05,27029301.29859878,91328495.03331919,10851618.599407524,15774574.864386182,12752203.210439729,23679002.391568534,3282748.917646741,5092785.395799997,2519613.990474103,2673902.9711081935,964908.2166609818,966023.5398340744,,
2016-02-12,27278444.233042117,91715420.07280642,10949041.047631906,15887791.540392822,13006459.930900749,23921630.095111176,3336911.472075033,5166968.032418586,2551916.62209831,2703649.5354873333,967155.051296382,968268.2446896994,,
2016-02-19,28477512.91396027,95514497.93880197,11431230.896293815,16502713.056056513,13414678.602943776,24815568.41511425,3468029.338207231,5374004.294394625,2647921.965056229,2795773.98389711,1009986.170401926,1006194.5966702077,,
2016-02-26,28515697.77614041,95647066.48551299,11433375.681629945,16535942.044572596,13706783.650280835,25245025.078040626,3517465.301406173,5414675.557803254,2673197.4631031747,2812452.158428678,1018780.9333582752,1012207.7203236829,,
2016-03-04,28917979.87339763,97668478.81608479,11638991.646244518,16865487.10923378,13771852.01341262,25203588.559081953,3582071.9572261195,5526797.512005363,2708173.632830555,2854972.1300480347,1037669.3036057564,1031026.8739678682,,
