Date,1990_dow_none,1990_dow_all,1990_claude_none,1990_claude_all,2000_dow_none,2000_dow_all,2000_claude_none,2000_claude_all,2015_dow_none,2015_dow_all,2015_claude_none,2015_claude_all
2003-05-14,796876.9902327579,6200292.079526555,725147.1348087919,5787794.334440741,169212.4223517387,295848.80400232784,168676.38552618446,289920.3403048235,,,,
2003-05-15,802081.5202117945,6237603.208738724,731786.8490929998,5831115.192464668,169117.7736658068,296065.3799800707,168478.84896450903,290044.0951665599,,,,
2003-05-16,798071.4309878346,6231541.299368795,728616.418008899,5827955.058428887,167781.29194018338,295819.57919695973,167545.7856284064,290102.7968291828,,,,
2003-05-19,782796.1680722698,6114113.81070084,716815.0809418624,5735282.24068016,163685.5067861622,289812.69457935914,163443.33623815855,284195.1475863213,,,,
2003-05-20,785109.3495414435,6056242.983337864,711688.8908695445,5684539.224214517,163593.87876836088,289631.55206745525,163195.2648485635,283864.58868230466,,,,
2003-05-21,786925.0944119213,6067466.474619808,713585.0375674593,5700553.951287019,164297.05214778206,292240.90211497707,163906.7118827734,286446.75434297364,,,,
2003-05-22,791790.4091123142,6116991.589053387,718523.176103829,5749769.229820078,166247.02857603575,295933.13413436397,165702.740546739,289899.8836747905,,,,
2003-05-23,789490.1485420981,6134083.976971394,716623.1989534287,5758825.119177785,165296.96613393613,295164.48735444574,164722.34621689096,289135.25212170905,,,,
2003-05-27,803551.1187851618,6246311.844533121,728751.0730236177,5855231.184272852,167825.27518276585,299230.59806896007,167049.2567808415,292823.7373856355,,,,
2003-05-28,807454.9094904843,6299948.674810562,731007.8348553155,5893150.658317885,167394.98993445924,299003.65146218403,166479.91585143044,292419.07339735125,,,,
2003-05-29,805215.5600093149,6260215.032720142,725897.9948486201,5853499.563924029,167051.2070261914,299154.8605161597,165982.18498673016,292375.4275086503,,,,
2003-05-30,815255.1965443859,6340441.969968279,736365.1818954761,5932287.484141865,170465.40439838846,304296.49805301416,169127.83958628512,297212.45570893795,,,,
