Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
2013-09-06,21700079.227848057,105088306.04737693,72942308.0246976,234246861.63566133,8146416.720335301,14111939.51606407,11459236.40103251,30841240.168815266,8060721.004943727,20259758.801404137,15636957.905993627,26017134.992011722,2431153.676500339,3940054.278308187,3343291.4865768394,4265412.226880646,1870578.3734710335,1964098.9865916052,1890867.6228950594,1979738.7122821182,,,,,,,,
2013-09-13,22338948.09233467,108902297.62976971,75515557.84160188,239367646.87732252,8351962.090480225,14411294.307696998,11702726.404565679,31444188.232732274,8249481.033589889,20689286.37205347,15965514.47566474,26310161.415861495,2475168.7562323017,4007180.2698199404,3402118.3525718083,4334083.900480444,1889651.2330895872,1982083.4132878701,1908923.2621215968,1996439.0487487097,,,,,,,,
2013-09-20,22315051.91851729,108621552.14420524,75330088.03811951,239368310.57276413,8320043.655529565,14378324.147307007,11695990.186604917,31596156.54755912,8362536.335273166,21203562.268134568,16332504.870564425,26765340.579825807,2493845.7371485755,4014437.2627982656,3410332.9009471755,4333852.355721121,1910479.6577331128,2003438.2610134636,1927463.4070865004,2023531.1045357126,,,,,,,,
2013-09-27,22182966.278449204,107766518.66414882,74781241.81468883,237927491.535116,8262543.398578112,14243446.195283063,11595254.758481547,31207183.994488697,8381381.689006697,21153123.230492465,16305518.892964223,26712798.310347855,2478689.951959772,4001203.3432103214,3400259.5052726013,4326031.426424798,1894662.853732054,1986465.1851353517,1912032.6427299727,2009049.9417823867,,,,,,,,
2013-10-04,21913095.711557142,106710653.96848103,74032651.69132832,236661874.01587924,8206426.057576247,14186813.157330578,11538973.844048224,31135392.18431061,8393209.822174648,21385296.95401363,16457913.593176652,26816028.963432625,2476361.7042878894,4016890.2285202444,3409765.3840955086,4349162.766100192,1889163.0142043987,1982237.9399842601,1907798.1978051628,2010800.4171606882,,,,,,,,
2013-10-11,22485663.55330414,109302120.08928354,75800263.29055056,242445049.10500893,8389107.914989265,14482582.51496121,11777450.010242674,31730137.10025854,8479635.39046743,21568975.201648988,16604785.205403164,27086884.32897263,2510147.0012739017,4081320.897107972,3463358.0819095066,4419817.968150602,1914505.931251436,2013379.354938418,1937672.1947156554,2037637.3117310149,,,,,,,,
2013-10-18,22922786.09803625,111828400.73659262,77545318.59649572,247779242.07918894,8373943.162536954,14498390.267300216,11814376.75216885,32179374.28152598,8674402.738479607,21844329.24541009,16828207.950771812,27495611.62933047,2528575.460874118,4047438.075550768,3443045.415210902,4362731.283096621,1957490.949077428,2065665.9252630642,1983768.8548506913,2070179.3634103977,,,,,,,,
2013-10-25,23294916.972961716,113734487.85459477,78835006.81757407,250055567.79057953,8463246.606235681,14611782.62967449,11913665.228763063,32445133.74256574,8693393.04061405,21973867.75057819,16900718.697590858,27659611.416229915,2568750.416527067,4063139.589080542,3460427.4529647445,4366496.534331226,1974470.4222583356,2078766.1138186269,1995780.381734208,2083690.0109548382,,,,,,,,
2013-11-01,23388555.17388212,113796518.39861459,78887889.13087559,250637296.238349,8535930.508950625,14711607.602480501,11989218.725135691,32608680.617857717,8781353.762155548,21876888.625967693,16830585.9523461,27531770.662154477,2608599.1060167667,4126288.1513170013,3510767.843641388,4440282.198905356,1996001.245413948,2095159.7191470752,2011676.7515563008,2101474.120093579,,,,,,,,
2013-11-08,23419087.249023885,113708852.67940038,78788091.33644071,251070464.31065667,8611527.95004181,14846249.708600633,12097564.325317351,32863771.832167376,8850705.064096851,22013287.842359878,16925242.185463283,27729411.319012508,2625275.576470106,4160048.4687473867,3535984.32700263,4480459.166368361,2008774.4592255093,2102662.5575533356,2017952.0492919334,2110258.1409295513,,,,,,,,
