Date,defensive_1.0,defensive_1.5,defensive_2.0,defensive_2.5,defensive_3.0,defensive_3.5,defensive_4.0,defensive_4.5,defensive_5.0,growth_1.0,growth_1.5,growth_2.0,growth_2.5,growth_3.0,growth_3.5,growth_4.0,growth_4.5,growth_5.0,spy_1.0,spy_1.5,spy_2.0,spy_2.5,spy_3.0,spy_3.5,spy_4.0,spy_4.5,spy_5.0
2002-01-29,1274476.7434842794,1368354.9635298061,1455818.8352381384,1534782.0451505778,1603258.3772066338,1659440.8593532108,1701777.5764593936,1729039.8939641921,1740379.0703765124,1556241.0481763904,1814930.293617111,2073796.5824468564,2321723.058464715,2546799.2934828587,2737209.592435465,2882213.601218542,2973111.4412842994,3004077.197517951,761021.2818810736,614830.3205293455,483530.3845874164,370123.08220421884,275708.3901398512,199823.11091622326,140872.45586375883,96575.06422655971,64360.044706822504
2002-01-30,1288186.2756978744,1390415.027380006,1487098.8499981523,1575992.1795499113,1654908.0051147025,1721802.6747091569,1774859.771825905,1812568.4763119996,1833791.8868425228,1592709.4664270997,1878700.7660289113,2170932.2507714024,2457642.4719645036,2725700.264560965,2961519.4117820472,3152136.631429317,3286341.3147437926,3355725.977825076,771965.2452352709,628084.2496754583,497423.89359951246,383414.1655773311,287587.6517395174,209866.77014294043,148964.0535806087,102815.31996844866,68980.58264173186
2002-01-31,1308747.0231368637,1423684.3476261187,1534528.7257148654,1638812.5603997358,1734058.0500418427,1817869.0582351016,1888026.0487969506,1942579.1187471026,1979933.9385067371,1617258.697849599,1922110.7115350864,2237795.286664916,2552242.266467591,2851586.6007051505,3121079.6052326616,3346215.817405137,3513964.945398509,3613970.5739679653,780975.6397988134,639072.0451231389,509021.9605458658,394586.2354801644,297641.8619901361,218425.68879017432,155906.48616365978,108205.60562255853,72998.63218289909
2002-02-01,1306458.888388152,1419928.688012924,1529115.4725434645,1631573.4688620863,1724855.534523828,1806604.5037391991,1874647.0863691356,1927085.37332686,1962380.8154826818,1597344.0985076127,1886578.2357109159,2182614.496616841,2473554.2706551473,2746068.476957356,2986324.873452068,3181086.5747524644,3318868.0968472497,3391014.5847915593,777289.3574014376,634537.429665973,504200.9369308939,389911.7000892157,293408.73930645117,214800.31867938567,152948.43288640375,105895.54804160241,71266.79037469116
2002-02-04,1298658.848517756,1407190.4684907736,1510809.3797082393,1607144.9836342642,1693854.6927509697,1768713.3812253766,1829703.6827923222,1875102.2690576746,1903557.179456511,1579927.5348560559,1855693.7176780961,2134950.877585125,2406013.7304957258,2656073.610196426,2872129.420986745,3042051.897435454,3155666.527210818,3205725.932295482,757939.850805034,610833.7570887216,479082.6086371756,365627.8620881895,271478.60342627,196068.68395256565,137704.50079040584,94021.54421856234,62387.54289116396
2002-02-05,1305719.343487679,1418644.5233637788,1527190.4290507382,1628914.5154157733,1721377.0734838075,1802232.7548639015,1869324.412396454,1920774.2877141035,1955067.4075269434,1584531.7812929794,1863776.8306381095,2147328.2018833053,2423431.1180400494,2679130.284748998,2901202.168858728,3077230.1782180103,3196707.952883977,3252039.884740053,753219.0495175307,605117.4693531257,473099.88205915876,359917.6363114526,266389.1132548846,191779.28819024115,134260.96368615777,91376.11431734139,60436.92580695944
2002-02-06,1287412.0854060738,1388786.7253128563,1484318.2295108426,1571742.0873527196,1648865.1490622133,1713652.5520788345,1764312.9752653597,1799377.4518267387,1817767.0940773753,1564143.5113460792,1827775.9861705313,2092002.1232882962,2345362.5005948977,2575546.82091422,2770322.8442602684,2918564.7795376903,3011266.5538558406,3042416.2440189617,749948.3354837078,601166.6888575652,468976.54149376234,355993.73688243295,262902.3865374023,188849.76715280747,131916.48325524598,89580.68800234995,59117.26243020938
2002-02-07,1283274.0692976732,1382069.4485594775,1474730.4577035436,1559039.330675839,1632863.6671899348,1694241.795501692,1741465.6384293842,1773156.401957676,1788328.5879784091,1551868.9388211884,1806232.5676479407,2059103.5143594523,2299240.691947921,2514752.7870449065,2694018.364993918,2826680.3475376302,2904601.5974642034,2922663.181351669,745228.1911026522,595481.8069824062,463058.5869229807,350375.68327887484,257922.02078096702,184675.0090881308,128583.12590450188,87033.80596500219,57249.53490008688
2002-02-08,1287484.289994948,1388849.5886222967,1484361.5293676401,1571754.3547417966,1648834.0929596585,1713565.58789944,1764157.8320323967,1799142.82466456,1817443.3021665378,1563173.90449567,1825941.5228815558,2089039.8581319565,2341007.382680632,2569555.091685306,2762498.204937675,2908784.4243707824,2999503.668970237,3028755.5718451957,759481.1908349273,612556.0875031161,480756.8796167216,367112.3533245518,272704.8602515482,197022.84502259095,138408.1475586131,94514.99256077783,62717.12975383308
2002-02-11,1295531.2557398344,1401848.8651258207,1502870.5396077083,1596240.6188446768,1679648.3873972422,1750918.1179002146,1808098.9987056758,1849549.9975407433,1874014.7220768183,1603372.8899825187,1896347.8428151256,2196419.77880838,2491403.575346974,2767634.059196711,3010928.3609067206,3207726.541186884,3346290.7865312956,3417821.901539318,768766.0039328061,623779.5428980379,492496.7016689732,378315.36808023293,282689.5968197287,205437.8554129238,145163.5671717222,99704.34656882808,66543.01355365351
2002-02-12,1300465.2637158977,1409835.5449248552,1514271.334162026,1611364.6433996512,1698735.143089335,1774121.8230665924,1835475.5565985395,1881047.5333206311,1909468.461565473,1601488.0647015865,1892974.6519995485,2191187.845872242,2483966.0559600666,2757702.3549317834,2998307.2630912303,3192345.466930577,3328226.6622947776,3397309.850134446,766322.0417393822,620795.3293944559,489350.0931388841,375291.0743032398,279976.0255552728,203136.10263326854,143304.14618504624,98267.19259645147,65477.04986192495
2002-02-13,1303869.1986545674,1415349.0393670185,1522151.5977005279,1621834.0955468712,1711969.1721215036,1790237.5563438353,1854522.3629815292,1902999.9277294606,1934221.9782204714,1621528.7012555127,1928477.700389687,2245960.019028342,2561560.113812666,2861059.312512981,3129395.587670217,3351842.009067021,3515284.9311227147,3609454.8236213345,774433.085174391,630641.8220380371,499693.88093761756,385204.2081125554,288848.8113603371,210645.62748658156,149357.98133432347,102936.9847214239,68934.11295479594
2002-02-14,1304053.8974468098,1415627.8707568299,1522535.7223878128,1622333.1458938275,1712590.7169091385,1790986.608570295,1855400.962248579,1904006.826702137,1935352.4582629653,1617495.1947825083,1921252.3048490284,2234716.978026385,2545511.664622681,2839531.7885950156,3101908.44359628,3318180.3203656045,3475555.3383143735,3564115.8582472634,772955.7983695037,628827.5701609529,497772.01019349165,383349.3118071839,287177.9306009993,209222.95163528647,148204.46801581114,102042.21455899933,68268.0943651116
2002-02-15,1315654.741079079,1434496.0682323403,1549577.5055281972,1658338.4507441455,1758190.2422771791,1846612.0839992238,1921251.149947351,1980021.630231443,2021197.17332138,1611835.682540972,1911139.0627675618,2219009.544640337,2523127.0238542818,2809549.9876676127,3063681.587538419,3271431.8006990524,3420455.46347775,3501321.5195142585,764855.7760114619,618933.3454503497,487324.01569304307,373288.4488780063,278131.8967236467,201532.98913210526,141978.4000765988,97219.1785049128,64682.638809371216
2002-02-19,1304279.6752764639,1415870.027351107,1522734.4486243234,1622416.7389748646,1712477.8045526494,1790589.2811213399,1854628.695305647,1902771.002573064,1933571.229654439,1582201.7446773218,1858404.4454723806,2137346.9470946733,2407039.3268075753,2654413.561703769,2866302.011820005,3030544.1793837035,3137098.8467866797,3179025.3616434205,750135.5781083216,601056.042595478,468551.13155029836,355310.60789990076,262056.13561516063,187942.13016993174,131035.31186760668,88788.90879034852,58450.3116369801
2002-02-20,1323553.7684790622,1447232.807394662,1567691.9671981183,1682279.8828000426,1788290.6113690964,1883062.721420804,1964084.1524591502,2029097.420722789,2076199.3228259904,1600558.2401200936,1890717.128437945,2186875.2244773954,2476742.951436475,2746637.706391905,2982470.8139942633,3170902.663190546,3300541.921558736,3363044.927599874,762729.4330039896,616183.2294715178,484269.42464543035,370207.1829505206,275238.71492019505,198971.19827501095,139822.83199688734,95487.24519129613,63349.6195940895
2002-02-21,1313480.8884657759,1430689.2043718148,1543781.6654201015,1650194.381760153,1747350.6557228803,1832758.466467672,1904111.2774318722,1959386.7741605693,1996937.8983127426,1597773.2594387112,1885753.0790781563,2179197.1841685423,2465854.0918145105,2732130.179509173,2964076.7193673435,3148538.665650087,3274341.032900731,3333369.9615765386,746906.5098652784,596999.4892058462,464161.968607247,350990.00211585296,258092.08551411564,184508.90815222994,128207.27575077664,86562.87075471853,56770.79505073875
2002-02-22,1323818.9471845045,1447557.9240511162,1568035.2714612023,1682588.3682592844,1788501.2831701734,1883104.6863413928,1963881.4807660712,2028572.66193311,2075277.493682857,1607986.7621734452,1903805.4443449825,2206990.0518912347,2505146.022382825,2784355.1258905483,3030163.1612691665,3228752.363346557,3368174.401597816,3439497.3544069673,756120.0623255718,608036.7852840321,475599.0500065979,361797.9015320803,267627.28355109744,192460.73980557147,134521.43406682293,91358.62190662963,60265.280139806826
2002-02-25,1326788.5145597444,1452406.2260761706,1575021.5153119087,1691946.1296588941,1800426.3702755864,1897743.4854818725,1981320.497908193,2048829.963194035,2098296.6844043895,1611551.008527252,1910105.9130366798,2216705.7216434767,2518911.91210034,2802698.0769188344,3053436.880373983,3257079.8232119796,3401405.88402729,3477191.2781365267,768573.8581666908,623049.525174345,491251.18879580824,376678.72858729184,280834.7094668573,203540.6903841649,143371.56955920265,98120.03998068908,65220.86317018485
2002-02-26,1325156.010555235,1449703.1489801297,1571096.896106671,1686663.0740703782,1793669.086165874,1889424.0765127293,1971385.111313631,2037263.8821574294,2085127.988926772,1618228.0199436168,1921947.3372663786,2235005.7111633867,2544885.9822403593,2837361.16620209,3097479.3220923766,3310756.581608854,3464454.8863230683,3548794.622270581,766958.9343712254,621076.1596196212,489171.5540021252,374682.5509759339,279047.05872759095,202028.0645989745,142153.24979976876,97181.64814914015,64527.579343191894
2002-02-27,1325609.2514996144,1450424.4724959142,1572122.9863239995,1688026.9812494821,1795398.506625757,1891539.6992787116,1973899.132634636,2040178.787731268,2088435.6948133823,1610229.4926663751,1907667.9802920222,2212842.2985677756,2513320.86802354,2795112.257669486,3043654.1995908855,3244991.934339531,3387021.5695552793,3460650.887627496,769894.8173671468,624632.7235435606,492901.46472212585,378250.8232838202,282234.32172703557,204719.1704741219,144316.67387084497,98845.1507924679,65754.63302086275
2002-02-28,1318646.9362815833,1438975.2278862477,1555560.234544236,1665784.1284872484,1766998.18870979,1856621.9714818122,1932246.8858829285,1991738.6908903657,2033333.1082456505,1605146.893067549,1898606.2854615457,2198804.3791983062,2493371.285215929,2768471.378996688,3009793.742101657,3203720.069327485,3338545.391039983,3405605.668374551,766418.5753229983,620392.5283206269,488435.09426059795,373963.5504211809,278393.80259196594,201468.099048994,141696.7887324172,96826.05976559961,64262.009839550534
2002-03-01,1331691.608985561,1460303.7696944713,1586285.0424180578,1706897.6300094929,1819320.3082798803,1920750.2604391715,2008512.423630628,2080170.77263205,2133635.411341742,1605061.111586582,1898422.4454304415,2198496.070846754,2492913.4928074107,2767842.9603280234,3008979.9581807517,3202714.850710343,3337353.017928974,3404241.5839951583,784248.3219257538,642031.1448973218,511144.44694925693,395694.3099073993,297804.6688403513,217855.45060549577,154868.19632877345,106951.16763094092,71728.30836443437
2002-03-04,1323667.3636746756,1447080.6145482003,1567115.5175792733,1681099.5652847725,1786311.5130747615,1880082.3212563088,1959901.576294799,2023523.8089181548,2069068.724085215,1608745.048031249,1904926.6941732292,2208514.7645048173,2507093.1854586755,2786716.6978898398,3032900.9488408924,3231798.065174154,3371433.1786841317,3442854.7634584224,798078.1295208927,659003.2678458383,529154.9369627015,413119.1789435146,313539.7023501881,231283.47888889673,165776.78698793642,115425.8147111681,78043.19997019655
2002-03-05,1312159.8128848777,1428185.795945987,1539815.2543324314,1644478.1234200546,1739603.5219010806,1822718.6772465713,1891550.4965696358,1944124.252157474,1978853.6608000637,1566420.670253969,1829720.0407627642,2092233.7802010393,2342070.417076118,2566584.225240749,2753374.7697850196,2891374.1531162276,2971895.0875004386,2989506.410236936,795496.5288157609,655794.69658157,525713.9074261158,409757.6572089812,310476.11144992267,228645.6827233808,163615.20894222104,113732.15554875048,76770.53446005075
2002-03-06,1325948.285490902,1450673.5427349375,1572125.3822852592,1687597.271277685,1794327.9921680852,1889604.176923473,1970868.706244158,2035829.2791844897,2082561.0266993004,1595386.9781131533,1880442.4194842186,2169543.365001397,2450227.441344186,2708797.2254281593,2931349.5933309835,3104954.5986186997,3218852.129367967,3265518.114322507,804912.6754755256,667427.5491718788,538141.9420297431,421862.73510635487,321480.5595787751,238099.15860429936,171345.58042322437,119776.90688916897,81303.89214086083
