Date,2000_defensive,spy_2000_defensive,2000_growth,spy_2000_growth,2005,spy_2005,2010,spy_2010,2015,spy_2015,2020,spy_2020
2000-05-05,1105969.7980837517,1028242.114665006,1133591.6510739787,1028242.114665006,,,,,,,,
2000-05-08,1105969.7980837517,1028242.114665006,1133591.6510739787,1028242.114665006,,,,,,,,
2000-05-12,1121441.3932843232,1043480.2822982854,1134937.0970407214,1043480.2822982854,,,,,,,,
2000-05-15,1121441.3932843232,1043480.2822982854,1134937.0970407214,1043480.2822982854,,,,,,,,
2000-05-19,1127583.3569360236,1003224.3594304713,1119106.7862407116,1003224.3594304713,,,,,,,,
2000-05-22,1127583.3569360236,1003224.3594304713,1119106.7862407116,1003224.3594304713,,,,,,,,
2000-05-26,1126897.8024893655,1057581.6729739918,1136461.8358410692,1057581.6729739918,,,,,,,,
2000-05-29,1126897.8024893655,1057581.6729739918,1136461.8358410692,1057581.6729739918,,,,,,,,
2000-06-02,1111390.574597266,1069180.7577894323,1093043.0789804107,1069180.7577894323,,,,,,,,
2000-06-05,1111390.574597266,1069180.7577894323,1093043.0789804107,1069180.7577894323,,,,,,,,
2000-06-09,1146086.3141405892,1078278.3322498258,1111257.2090903406,1078278.3322498258,,,,,,,,
2000-06-12,1146086.3141405892,1078278.3322498258,1111257.2090903406,1078278.3322498258,,,,,,,,
2000-06-16,1097345.452905518,1062351.4338760593,1068096.7412367999,1062351.4338760593,,,,,,,,
2000-06-19,1097345.452905518,1062351.4338760593,1068096.7412367999,1062351.4338760593,,,,,,,,
2000-06-23,1115662.4029607351,1051864.2885774733,1090587.021103499,1051864.2885774733,,,,,,,,
2000-06-26,1115662.4029607351,1051864.2885774733,1090587.021103499,1051864.2885774733,,,,,,,,
2000-06-30,1130301.648761966,1063263.1712461987,1117725.1982818674,1063263.1712461987,,,,,,,,
2000-07-03,1130301.648761966,1063263.1712461987,1117725.1982818674,1063263.1712461987,,,,,,,,
2000-07-07,1103797.4495377396,1092671.4965618707,1130974.7320240736,1092671.4965618707,,,,,,,,
2000-07-10,1103797.4495377396,1092671.4965618707,1130974.7320240736,1092671.4965618707,,,,,,,,
