Date,1990_none,1990_cc_always,1990_wheel,1995_none,1995_cc_always,1995_wheel,2000_none,2000_cc_always,2000_wheel,2005_none,2005_cc_always,2005_wheel,2010_none,2010_cc_always,2010_wheel,2015_none,2015_cc_always,2015_wheel,2020_none,2020_cc_always,2020_wheel
2016-12-13,32959642.295448028,1095331444.8123887,696589344.205325,13589526.805754272,247323055.005089,147180410.54910976,14766680.659238659,76509464.62233514,59283868.18398133,4338765.9978472255,12724065.935391055,11307092.420839226,3225189.610538646,4391864.192112904,3172652.33874008,1117681.3900656714,1230361.658233406,1184201.3024537994,,,
2016-12-14,32780140.27676238,1093207077.0504692,695229094.6488439,13531362.402813228,246638910.91483578,146770345.37784684,14576537.992632195,75726343.46730846,58679757.615249,4297250.232473926,12651787.605523821,11243811.835069807,3205169.37989947,4376521.442309108,3163190.8037487613,1108800.9221693124,1224323.585323224,1178587.1074346215,,,
2016-12-15,32822307.895962123,1095404052.4969423,696639613.1807338,13560029.550695872,247342098.12615055,147189698.24940634,14612351.759971058,76184381.16849482,59036079.96492337,4313464.85863497,12694182.013229828,11281910.591330418,3215825.5543484767,4385994.168916879,3170383.4417716623,1115074.5931504788,1230305.3019410437,1183829.7685035733,,,
2016-12-16,32771923.509309184,1094434168.474848,696024445.3632824,13552563.862784546,247377371.25730753,147235302.08783486,14665212.678643681,75983406.96734099,58869889.82607176,4333927.63999653,12761759.653663144,11343172.641381437,3223087.095917609,4387505.502679699,3169508.483516051,1107458.7667801082,1226843.8064584748,1180820.5215395424,,,
2016-12-19,32872902.44349984,1101909640.7223024,700805182.5838811,13567870.000478325,248561833.3454104,147916165.28678438,14674429.917575771,76259030.46069956,59087430.3212431,4320067.594427853,12752756.603114892,11335275.999502394,3219070.488533595,4397274.823881882,3178005.875459566,1108381.5098605112,1230985.5624535147,1183968.3962469855,,,
2016-12-20,33070022.542650312,1107166371.2943068,704145230.7297151,13626211.40429421,249197810.2648,148296857.8943474,14760741.629889244,76718388.6059053,59445407.225391775,4334501.068310417,12801763.054452896,11377947.847259393,3233172.9828838264,4411319.061044239,3186494.621143944,1112593.6399817667,1233961.5086943496,1186435.466400115,,,
2016-12-21,33048590.064452842,1107039506.828879,704054211.408415,13604498.812838301,248767851.94588146,148046960.87419888,14709018.781646952,76249881.9100086,59083446.153347775,4323108.807888635,12792617.355795674,11370024.181269009,3227861.933576009,4406963.973050685,3183424.5586867956,1112845.7988496288,1235519.9929570106,1188306.334999362,,,
2016-12-22,32952254.58839065,1103911491.854049,702067615.1033069,13582422.65960829,248267859.99071684,147742356.28058377,14546305.719381483,74175368.21952023,57485836.262301385,4298224.817945544,12728706.216089224,11315158.114634614,3216472.0580775673,4385023.518833863,3169536.3076141737,1102579.4309128723,1225638.6405506928,1179966.4417203504,,,
2016-12-23,32924945.436507173,1103878234.5332396,702054592.6065241,13590558.050510744,248309719.59153295,147778811.65978992,14540432.754750116,74039436.11083311,57380360.20646651,4304568.198923048,12742706.37223155,11327737.149143906,3219937.570286549,4385584.926967849,3169280.869446189,1104923.3267819737,1226694.653900427,1180828.6385057224,,,
2016-12-27,32913199.072582293,1105468264.8900032,703082234.6294229,13583459.995723639,248625798.9733104,147961048.358448,14555271.395965556,73948127.76512009,57312962.42403812,4304738.107011405,12745001.535490457,11330285.589558786,3222206.8710035332,4391527.862910757,3174483.54710778,1108759.8205269931,1230829.940849514,1184090.2143781274,,,
2016-12-28,32682816.10328808,1097404420.088576,697929823.0006019,13491603.017206939,246781766.00707746,146868908.97206262,14415308.641366187,73414436.02775222,56897980.0152441,4266861.253998422,12658075.628845036,11253789.900323527,3197897.818109595,4364746.0877090935,3156297.6235971297,1097998.4509239949,1220850.5682437965,1175800.8403869348,,,
2016-12-29,32687792.575510144,1096688854.1367733,697472027.181302,13490186.91953951,246815623.8670268,146883720.23617962,14444595.9739066,73364019.48041663,56861038.137140766,4269061.864627335,12648172.178288935,11244651.020191677,3198299.163900092,4362613.84967805,3154970.301757495,1098491.8997354747,1220679.0110483144,1175682.2268039372,,,
2016-12-30,32544759.125490963,1093474689.2005591,695435606.5332712,13402659.820990123,245342362.73379087,146014116.6038626,14315627.77744214,73047112.25721936,56617142.074081734,4238477.048146641,12589967.400807424,11193360.10039005,3173324.790892459,4335676.575441366,3135216.010682352,1092973.7468710095,1215624.668832917,1171391.663206598,,,
2017-01-03,32794098.181959465,1105999422.3701801,703415554.9216673,13491131.481110599,247392019.50086573,147260839.39810175,14400674.742884666,73969002.76102805,57334642.938823506,4251624.212653603,12679039.349014943,11272418.32904679,3187749.599587994,4372896.871617239,3161047.750413444,1102903.3923880723,1228298.8551233269,1181442.1731087097,,,
