Date,1990_gro,1990_bench,1995_gro,1995_bench,2000_gro,2000_bench,2005_gro,2005_bench,2010_gro,2010_bench,2015_gro,2015_bench,2020_gro,2020_bench
2002-02-22,8155951.542608467,3135843.3729483616,3492721.2779457555,2643580.493816112,1724329.5208865623,825809.9016534575,,,,,,,,
2002-02-25,,,,,1724329.5208865623,825809.9016534575,,,,,,,,
2002-03-01,8234279.197163344,3261369.563730361,3535039.111657505,2742437.515704978,1733438.1235632836,865559.0876969373,,,,,,,,
2002-03-04,,,,,1733438.1235632836,865559.0876969373,,,,,,,,
2002-03-08,8221174.882018528,3302128.329091259,3563281.4606841137,2820800.618216741,1747014.2640392291,860952.4937541791,,,,,,,,
2002-03-11,,,,,1747014.2640392291,860952.4937541791,,,,,,,,
2002-03-15,8313176.161513771,3294468.5284410208,3529753.461933334,2820659.4885598924,1775163.1502959875,859023.2168198087,,,,,,,,
2002-03-18,,,,,1775163.1502959875,859023.2168198087,,,,,,,,
2002-03-22,8117377.221252679,3199270.6627651136,3450033.4756548484,2781728.069541352,1760803.3439579112,853285.8564033529,,,,,,,,
2002-03-25,,,,,1760803.3439579112,853285.8564033529,,,,,,,,
2002-03-29,8111661.017471616,3240736.0619877996,3458707.7853339296,2769153.7613348346,1711646.9781975728,839501.2535836404,,,,,,,,
2002-04-01,,,,,1711646.9781975728,839501.2535836404,,,,,,,,
2002-04-05,8114911.678007967,3180672.183735845,3418289.6193159693,2724905.0243305233,1760554.8715383129,824003.4860806474,,,,,,,,
2002-04-08,,,,,1760554.8715383129,824003.4860806474,,,,,,,,
2002-04-12,8153655.530522944,3116396.7952705217,3380115.306152804,2694194.4078234024,1778761.2768721702,838011.5374773557,,,,,,,,
2002-04-15,,,,,1778761.2768721702,838011.5374773557,,,,,,,,
2002-04-19,8146303.061782845,3131320.6402040683,3446490.922973995,2729499.4830982895,1797162.9192797851,815658.4595571776,,,,,,,,
2002-04-22,,,,,1797162.9192797851,815658.4595571776,,,,,,,,
2002-04-26,7868330.480934658,3011532.0541523756,3271054.1765527227,2596748.682503021,1807369.9785213436,810368.526631526,,,,,,,,
2002-04-29,,,,,1807369.9785213436,810368.526631526,,,,,,,,
2002-05-03,7792010.390185634,2975409.193365198,3182353.029437849,2601342.280724099,1790279.685017064,802842.9588728221,,,,,,,,
2002-05-06,,,,,1790279.685017064,802842.9588728221,,,,,,,,
2002-05-10,7876713.469216063,3037282.0957076563,3230082.300329651,2556367.2423150316,1803531.7959966562,822289.9678394918,,,,,,,,
2002-05-13,,,,,1803531.7959966562,822289.9678394918,,,,,,,,
2002-05-17,7989584.909579933,3086237.537836439,3358808.80562711,2681621.8207102614,1822733.1287172458,820352.9126318716,,,,,,,,
2002-05-20,,,,,1822733.1287172458,820352.9126318716,,,,,,,,
2002-05-24,7893915.04389308,3063455.4965150924,3270463.8243363164,2628182.1582281464,1797126.2197461957,797254.5347112074,,,,,,,,
2002-05-27,,,,,1797126.2197461957,797254.5347112074,,,,,,,,
2002-05-31,7623583.3302544,2941519.0609567454,3145581.6201814953,2592636.990427279,1772924.9280062686,770878.321731479,,,,,,,,
2002-06-03,,,,,1772924.9280062686,770878.321731479,,,,,,,,
2002-06-07,7615107.312637552,2913423.1191933122,3114489.531593617,2498816.174606071,1757203.1525291586,756646.8217577749,,,,,,,,
2002-06-10,,,,,1757203.1525291586,756646.8217577749,,,,,,,,
2002-06-14,7472488.617250247,2928771.35848721,3134559.3713278933,2451906.627242155,1769142.177294771,754113.2260255719,,,,,,,,
2002-06-17,,,,,1769142.177294771,754113.2260255719,,,,,,,,
2002-06-21,7209150.968023306,2805958.1862868695,2981796.0107411244,2409045.665196853,1728891.0227846848,743443.5564740204,,,,,,,,
2002-06-24,,,,,1728891.0227846848,743443.5564740204,,,,,,,,
2002-06-28,7089614.197652223,2737923.6298898184,2993475.0788779515,2401280.5221567824,1658210.3370625393,714133.5202475965,,,,,,,,
2002-07-01,,,,,1658210.3370625393,714133.5202475965,,,,,,,,
2002-07-05,7132028.298085643,2761468.545951601,3036012.6678783474,2409773.974543882,1615470.4837822274,694394.5608656511,,,,,,,,
2002-07-08,,,,,1615470.4837822274,694394.5608656511,,,,,,,,
2002-07-12,6597784.957971811,2594561.662300954,2880245.669271678,2228755.540486427,1541486.723908875,656485.8645351841,,,,,,,,
2002-07-15,,,,,1541486.723908875,656485.8645351841,,,,,,,,
2002-07-19,5838656.927024062,2317335.0173393562,2618781.647911131,2055501.3889223547,1517027.7133224434,628072.4068850093,,,,,,,,
2002-07-22,,,,,1517027.7133224434,628072.4068850093,,,,,,,,
2002-07-26,6587169.125695779,2540942.367677159,2786425.6050018948,2077098.5291536008,1545487.4657186968,663813.0863260167,,,,,,,,
2002-07-29,,,,,1545487.4657186968,663813.0863260167,,,,,,,,
2002-08-02,6201138.846156884,2359026.4151848303,2640603.8487364147,2105973.886423901,1559618.2422469743,680038.1665726055,,,,,,,,
2002-08-05,,,,,1559618.2422469743,680038.1665726055,,,,,,,,
