Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2020-10-16,60899987.14047322,331156732.0259803,26854496.909159787,60231004.15936672,24498345.09375639,75079603.795091,8211060.636140587,20591968.117881272,7231485.27507983,8804590.468294999,2551125.5412908844,2958263.3244216037,1170371.691597165,1209491.2042172025
2020-10-23,60495625.61560893,330035144.5650038,26385392.35774485,58932696.85899758,24505837.704346757,74998269.12763262,8183876.869722781,20583961.043541174,7207892.191972097,8822970.375059621,2513165.620171241,2925507.4944144385,1141161.2900583136,1187228.0546781674
2020-10-30,56814815.213111445,310398227.89022684,24625005.832446937,55143100.40591826,22893243.78348806,70469326.4026918,7579515.597220715,19159305.4620856,6829346.6308077825,8418812.402505968,2362618.695323931,2760077.4862893433,1084304.6473650688,1132213.7751589166
2020-11-06,60413825.067083515,330286270.5159592,26525768.24640826,59495171.92368166,24200899.994093694,75242979.46071684,8267265.448124917,20946215.526937805,7412959.534696799,9116201.938151069,2594261.3948303205,3029752.2003681934,1202691.3481920615,1251546.7076747292
2020-11-13,62608276.51250187,349874394.8589196,27073713.22819581,60537866.41789758,25055600.183551323,77039866.51885796,8583893.330854733,21787710.552867614,7575595.638511727,9318609.115198445,2629240.961935697,3089000.640293107,1238697.7089750012,1286052.0438082777
2020-11-20,62540904.915058516,351676926.43418163,26591166.42542971,59360569.03517267,24702448.329234857,75899117.15705232,8416306.326987384,21368738.77802934,7483687.8121545175,9224262.543694358,2603803.753468763,3065217.8804738154,1239508.3383251508,1292524.7445580682
2020-11-27,63924274.79651463,361099660.63790977,27148789.372113507,60548555.77575898,25070351.59378832,79232140.69619422,8495008.830257855,21625360.04385965,7540962.909030827,9320841.670546142,2675920.060790704,3134020.140226487,1277188.3145425268,1328366.5088739141
2020-12-04,64340350.578573994,367960472.42835665,27787612.435251538,62466371.50719349,25782533.103424508,81248215.86921172,8795713.94536494,22420816.560666963,7764089.186327575,9583640.213782327,2739407.5995413074,3228694.291600967,1303552.8572350563,1355637.8297145888
2020-12-11,64960749.26211107,376839843.48087895,27512829.490731567,61306604.698599614,25510806.00675813,79992285.74426405,8646680.590652535,21981490.96536562,7636703.1922774,9437641.821639227,2687569.3192194873,3162772.4051969703,1286826.548177863,1336024.1962235107
2020-12-18,65248046.404475,377112413.9984476,27669936.52116494,61342746.49280468,25963133.349778768,81668566.20098406,8815940.243616605,22377885.857031573,7753917.217333648,9574284.371732226,2741110.7353263316,3230868.395277722,1312519.4401404555,1362349.1872980623
