Date,Growth
2005-12-23,2551692.8575875955
2005-12-30,2560103.801359577
2006-01-06,2582702.998608961
2006-01-13,2581822.407170094
2006-01-20,2565457.626600908
2006-01-27,2619037.9354082565
2006-02-03,2594925.8317802446
2006-02-10,2655556.2366311485
2006-02-17,2656367.441462201
2006-02-24,2686246.57782778
2006-03-03,2657799.484594096
2006-03-10,2731772.9067546064
2006-03-17,2740822.748042793
2006-03-24,2732878.9037750913
2006-03-31,2749888.3694219957
2006-04-07,2706739.83984902
2006-04-14,2730457.0091714174
2006-04-21,2690268.325536978
2006-04-28,2674667.2077059085
2006-05-05,2683654.413678728
2006-05-12,2590716.125521828
2006-05-19,2594801.969038628
2006-05-26,2632236.2115705553
2006-06-02,2590698.514746615
2006-06-09,2610469.4886946143
2006-06-16,2595950.9338202807
2006-06-23,2600922.719396746
2006-06-30,2555739.531550079
2006-07-07,2492656.5219452125
2006-07-14,2479286.4209270114
2006-07-21,2493157.9156085686
2006-07-28,2506463.353094516
2006-08-04,2496959.9354660483
2006-08-11,2553629.287366048
2006-08-18,2484184.8954344587
2006-08-25,2558768.541777994
2006-09-01,2559358.7750060568
2006-09-08,2677521.158762007
2006-09-15,2693860.0637540473
2006-09-22,2750862.5015064734
2006-09-29,2847232.7435857207
2006-10-06,2878373.760497095
2006-10-13,2871338.8763047997
2006-10-20,2899118.117897873
2006-10-27,2839889.23108838
2006-11-03,2858734.9230780066
2006-11-10,2942165.571655204
2006-11-17,2900117.701743094
2006-11-24,2868199.1482318477
2006-12-01,2903400.5329788523
2006-12-08,2944610.476699446
2006-12-15,2919040.563652902
2006-12-22,2922749.5181775116
2006-12-29,2950018.711906292
2007-01-05,3015122.449645725
2007-01-12,3031297.6675631423
2007-01-19,3005133.765474519
2007-01-26,3070878.677472428
2007-02-02,3075476.778603714
2007-02-09,3108248.9021399296
2007-02-16,3115647.32828178
2007-02-23,3013624.9831353524
2007-03-02,3009012.885608568
2007-03-09,2984529.493223214
2007-03-16,3096624.9088161387
2007-03-23,3062713.434869214
2007-03-30,3112853.4838773846
2007-04-06,3106795.866702141
2007-04-13,3120072.832171792
2007-04-20,3154060.7914538425
2007-04-27,3142433.3587366203
2007-05-04,3113620.3830552683
2007-05-11,3114954.285512447
2007-05-18,3098080.9978683307
2007-05-25,3170280.156395777
2007-06-01,3090505.7180398908
2007-06-08,3131103.0645058383
2007-06-15,3131735.658063754
2007-06-22,3121294.3899943274
