Date,1990_dow_pmcc_cc_nat,1990_dow_pmcc_cc_nat_conv,1990_claude_pmcc_cc_nat,1990_claude_pmcc_cc_nat_conv,2000_dow_pmcc_cc_nat,2000_dow_pmcc_cc_nat_conv,2000_claude_pmcc_cc_nat,2000_claude_pmcc_cc_nat_conv,2015_dow_pmcc_cc_nat,2015_dow_pmcc_cc_nat_conv,2015_claude_pmcc_cc_nat,2015_claude_pmcc_cc_nat_conv
2017-01-13,163954829081.91525,44761845.18576262,175569814039.12112,40670874.04317168,61581558.408380255,12478702.136370948,63123146.0247278,12503498.105998997,130535.52929951297,109828.94058022433,109412.92136416357,107538.10946933931
2017-01-17,163580615870.50174,44776916.633984305,173995581631.71442,40604093.62390005,62719604.72178544,12609888.437276,64524265.71247256,12620947.447170556,128313.73222870755,107281.78973353143,107333.53808638238,105049.6736674332
2017-01-18,164568126421.89557,44823279.97494874,177022598280.06006,40713317.359577976,62101617.67450392,12473156.764545834,64250450.54663196,12539361.948113462,130708.55873616258,108180.35314148414,108169.47597887671,105871.51254710618
2017-01-19,160383402756.31558,44508833.63566088,175766997741.9322,40526920.32644435,58671259.57200374,12334425.577090504,61536900.503891505,12410089.20300378,129484.16269468125,107276.61353099435,106986.96270042748,105015.36168180834
2017-01-20,164631389315.74408,45010662.67512593,181484285204.27774,41032693.33487353,58608769.707274295,12332354.337013029,61798531.958709374,12428311.325496964,127915.91767923934,105864.58701826971,105494.6108245899,103675.09461167542
2017-01-23,163737587016.6744,44894173.937072374,179760689377.01828,40882883.61115007,55350514.53845367,12178067.406098714,58800927.21305866,12276307.235407561,120252.37894500552,97831.58714393739,97792.06220438125,96080.79127539448
2017-01-24,163702349814.82843,45003303.87679504,179484382042.54797,40899071.36412425,55605335.51013563,12318391.944178883,58888377.03479111,12412830.182997163,120537.04047417786,98203.588252124,98552.08459926388,96456.16040170191
2017-01-25,162487972068.09018,45045231.64778896,180863443496.34784,41013821.52620424,54978466.068077035,12328987.974045549,58406189.829811126,12412002.524517199,124311.97155044436,100410.51116208574,101120.86533367935,98623.35091853727
2017-01-26,162460834852.5405,45110104.94714736,180730175905.64014,41051911.78571064,54140868.56508437,12207614.086633625,57489361.91713753,12297037.046779204,119874.44503732672,97354.95475765593,98207.73099044252,95834.64222311781
2017-01-27,162683745315.67166,45298040.67625601,181855626204.97623,41241169.8381479,52814447.18467512,12087545.158262644,56470587.17641573,12186295.86534818,121759.31961994914,97526.6679101679,98662.81799282621,96009.00408761339
2017-01-30,163376419432.78967,45316115.73917695,180198118921.69885,41154568.52477676,53484735.26656103,12137998.972233325,57250706.17992988,12230085.420112742,121524.5251342836,96776.0254431578,98083.10447830803,95364.65212660182
2017-01-31,163574156890.5026,45309015.48194656,180346144869.47803,41161020.53461613,53854962.692178115,12279573.272008654,57860034.31934894,12361103.108597547,120242.9494994453,96529.3889556355,97914.22140826086,95258.2969265745
2017-02-01,163392716419.137,45389836.78143576,181122219332.23096,41247973.98791673,52562394.07091138,12217363.920040736,56656792.04525743,12298737.585494183,120566.78867446753,96455.33683215638,97927.72156295774,95173.35247739861
2017-02-02,167928690170.19446,45751935.52095109,185977044248.65585,41602615.73092204,53648993.72578485,12226751.147309799,57723596.71207708,12309869.876511168,120200.48142663881,95820.14025863711,96877.84472718023,94409.64545625659
2017-02-03,168822621073.18314,45943253.884096324,187831884248.64374,41799080.17668954,53445328.586730875,12259178.880936172,57630991.8084286,12347779.68338163,120956.01132014037,96414.38551768217,97654.79921398284,94965.14023221159
2017-02-06,167275798758.0158,46006885.77666031,188726049186.99136,41912065.66900833,50914818.5688131,12222093.21103042,55371692.845448405,12306340.905526562,121915.55328604334,96387.76781083408,97512.00011848236,94808.28749737932
2017-02-07,168402420811.58365,45921521.61774936,190968065859.90817,41903668.02400892,53172479.274201766,12275431.289832473,57482140.11863439,12365760.811418034,122735.03608180658,96999.29108718867,98273.24291275357,95409.9467911394
2017-02-08,168056873383.44073,45968399.47054316,191112887470.6645,41967741.47591221,53692907.46108686,12414966.030507412,58141838.38549212,12494278.736140862,122754.66492117183,96979.00453488374,98035.4627404549,94836.68701496632
2017-02-09,169176720413.10974,46105553.49319915,192167436040.6055,42092131.75651171,55108037.39108537,12564302.249980738,59667988.47539286,12631439.686471386,123993.59792493998,97403.56155487063,98871.11368144503,95128.60514477573
2017-02-10,169822338231.44043,46166963.236388944,193400352954.43704,42152880.607387535,55339098.10351118,12520596.910525855,59762255.34150514,12596929.951675814,125444.64838101548,98558.68279923752,100133.1644633655,96368.72572187513
2017-02-13,172118791907.96933,46363386.36658259,197025261213.5707,42395143.10742163,55789964.12938858,12509415.727405054,60356989.96785727,12586029.630991803,127014.07347524722,99569.84257628181,101716.12179922604,97531.53827914559
2017-02-14,173821195730.71844,46619227.96349393,199223660181.59137,42636192.137776226,56267835.050176635,12639750.815464318,60884101.97687565,12706890.764776755,127958.8568121422,100281.6263976999,102704.13696464188,98292.14415928
2017-02-15,174343852527.18414,46508319.69638302,197973830185.3226,42557657.645250335,57185762.880020745,12635985.64596802,62220866.98076267,12713361.469924258,129999.11657643487,101374.5667273883,104235.33660969065,99517.49022571473
2017-02-16,174502365347.56274,46622611.27547933,197407764550.2639,42625696.281968184,56432971.11857285,12567307.314305676,61593972.589474656,12644575.19218983,130475.23175633306,101711.16257340675,104566.86591242703,99913.23249603866
2017-02-17,173941917079.83237,46684417.2769774,195712824916.9965,42618720.870612904,56512888.19437354,12685595.720320765,61835592.98716178,12752219.445115874,130407.21797802148,101434.30146165723,104343.96953985501,99578.27603266061
2017-02-21,175677351080.47223,46869491.59166777,197719200447.1239,42783836.75961873,57386506.4811168,12726357.122088578,62770340.612841055,12792991.860080618,133517.5854561839,102055.26271590099,105208.17894639616,100056.91057711707
2017-02-22,175401440039.60214,46835307.95609607,196952045425.07364,42769847.34221543,56861738.294189654,12678382.484297998,62289139.83890038,12748730.858254304,133653.63195086422,102354.98984578309,105378.56651626562,100313.74639024418
2017-02-23,176837054041.09067,46823444.271390766,195312905322.3627,42751874.94434244,56471409.25951673,12567795.885414075,61989380.1052977,12644290.507819362,132637.64536142536,102282.78068461946,105477.9335257857,100318.24068828484
2017-02-24,177657380195.13187,46962409.091943845,195768766904.68365,42863115.41287546,57721084.33877188,12743010.550652184,63215943.637917966,12807437.972856522,133654.40442949568,102549.54211169052,106147.07438485873,100667.71262415023
2017-02-27,177699427971.82858,46922959.912371494,195574738352.18527,42815663.634700954,58539408.20276807,12779797.07972658,63990909.316119626,12837925.63432185,133815.12872140197,102559.30695033261,106186.56667403122,100847.61968612288
2017-02-28,178135302505.73663,46850035.223941885,195475412307.7966,42756412.591444984,57215928.26759372,12521895.106384812,62889347.96260196,12669746.740807105,133008.84860077695,102176.34272143836,105438.99863118837,100506.33183066355
2017-03-01,180799222175.01227,47281688.12567442,199266798906.81754,43127098.43328233,58023901.498369545,12476635.443193763,64028673.252359554,12651627.610328302,135862.51072421198,103180.41915601598,106916.33553653472,101372.92251534715
2017-03-02,178482507317.09927,47065998.99346898,196316032777.6195,42978918.64824428,57728560.44128426,12570181.040111927,63652687.305526935,12737618.736064494,135010.6240943373,102810.03926712301,105731.5362685411,100690.45088566659
2017-03-03,178280465238.5871,47217512.07228538,196635654048.8222,43126907.261593916,56872103.06807866,12525297.594595766,62861606.44219683,12696005.635430548,135416.6465441287,102959.43791248019,105900.6873415596,100846.34053457578
2017-03-06,177879023178.32574,47187068.99340046,196451532229.76538,43094051.02601376,56487872.025835775,12465550.202260211,62391566.832936816,12647755.531000247,135457.43728597026,102690.78282386954,105478.05112060864,100648.62595125947
2017-03-07,177416786621.32944,47089790.20046795,195383464774.35025,43000000.7361415,56235979.29809551,12377561.220876481,62109166.64372654,12570414.97786912,135397.5761381032,102810.24140563537,105288.62861608026,100680.59306726353
2017-03-08,177146736274.29514,47025223.8747856,194093739837.2641,42930345.57806426,56764519.39105564,12401673.077870661,62583317.23384744,12596332.108482331,137194.20418145403,103961.25580540414,106960.20134366455,101838.68540645599
2017-03-09,178283073751.8068,46984179.25473059,193414923648.12384,42892187.6581663,57075505.968949355,12403264.309889419,62978096.45811781,12595645.129877042,137348.89910869813,104144.65648972266,107219.89783221095,101952.48756430946
2017-03-10,177460533161.82904,46996103.55568375,193180609891.63452,42912500.870586105,56587394.74652657,12418969.32524036,62855823.6425602,12613372.817560228,139277.5142583838,105049.83432603958,107684.48052412069,102636.36998680286
2017-03-13,175813356167.42056,46872503.16729839,193743143145.68918,42826522.94894033,56847715.685742065,12431700.328806844,63271770.60124393,12630752.712303802,139706.69708211286,104951.86849020032,107630.31696296216,102507.48728590527
2017-03-14,177625684935.16586,46898015.75097232,191098654536.35663,42752794.91769669,57300507.89297877,12431294.675752409,63526964.84856656,12636217.434465008,138905.2969130193,104522.03757970927,107241.05393402916,102094.54600625584
2017-03-15,178989744928.13623,47063325.47554335,197084079617.26038,42981173.298874035,58017202.55292828,12480040.308616359,64335022.71632923,12691342.718960289,140676.0796694946,105153.43526746721,108172.84213721237,102686.04250695484
2017-03-16,178089165231.7406,46990868.0153704,195172738589.62817,42890642.30923406,57910595.81122387,12496239.897849994,64275530.999340825,12703401.078777205,141311.1926362574,105056.58606802364,107724.81078711993,102511.0162712857
2017-03-17,177969377857.91794,46941656.56954938,196100653868.70074,42893366.05859968,59002490.11322776,12544055.039684486,65160202.73952372,12757711.040482955,140935.94438684292,104141.31144393644,106879.45106828271,101703.52492056585
2017-03-20,177730441373.68225,47018506.6382445,195913342258.74863,42980940.57071226,58039593.20617539,12389316.873701049,64453467.97260722,12599172.916446535,141710.4395398588,104443.07907175204,107098.84973726494,101908.15310037782
2017-03-21,176234271463.58676,46748387.0403015,193388220752.96304,42746990.850975625,57485762.78687758,12264608.325353544,63886659.36107408,12482237.850498358,138165.92809345637,102916.46320396649,105076.88195840066,100470.63400915508
2017-03-22,177655798769.66534,46722194.249747835,193957816782.88162,42709297.86480861,59105517.18525849,12336946.120988805,65171231.41344846,12560556.51049649,141222.76296540204,103454.30999440954,106372.32899557371,100939.237627801
2017-03-23,178447570368.89923,46750348.87040631,194010176628.52078,42693266.81240188,59773294.12502895,12309188.984973216,65679603.40131401,12536148.610687703,140553.56335945096,103042.31165891829,105814.67335020665,100564.21441909144
2017-03-24,179213500925.05893,46789085.099411055,193204699906.4533,42686087.61012291,60171100.26239574,12350913.672282718,65921846.40629687,12576663.40752265,141348.9722255325,103225.84717858148,106488.81929134377,100830.40764535566
2017-03-27,177507488709.72577,46729242.89497284,192077855945.06186,42668081.093316056,59653801.71384394,12383274.550435383,65525900.460149385,12597052.83460315,141132.9641069489,103097.10230505954,106754.02911525253,100794.00885005252
2017-03-28,179158938542.98474,46999037.83830627,194773926422.87238,42912899.01627082,59797185.32258892,12445401.143002257,65774294.425438985,12660307.670362212,142067.41680944004,104139.46365552273,107592.12006992415,101712.51658696099
2017-03-29,178836270371.45074,46952102.25598841,195179426267.18228,42911724.0995073,60425504.42253825,12571483.23746452,66084526.418818705,12759800.855146855,142302.42034667148,104275.9763238441,107776.7471484878,101809.59240765704
2017-03-30,179854080257.41953,46961963.13370821,195565065286.4482,42924723.351689875,60882844.11478057,12631233.932631332,66365546.95883067,12815898.0161577,142888.48532099606,104140.04945638932,108024.02709343848,101795.93971681097
2017-03-31,180241884490.6114,46920603.79017207,196934071111.84805,42914273.12011439,61123938.05469823,12547863.524657119,66475018.87381712,12730867.352288617,143296.92233140513,104218.08749451536,108366.9209090537,101864.59193838008
2017-04-03,179798387482.00928,46850375.485513024,196929523318.26532,42881062.77443602,59228607.36451474,12417811.005218595,64806589.88360874,12612805.033436932,143475.07803463752,103238.55441406413,107476.66781358741,100949.6501314737
2017-04-04,179849654023.93076,46876109.4769535,196621803260.9308,42905523.303204596,58498961.95717822,12300749.0476445,64164322.36986832,12502825.341473863,144185.49791182685,103491.69727349446,107487.96332795286,101162.33407002044
2017-04-05,179848522000.33276,46875709.84424956,197079608501.76425,42883882.26691789,58363046.699931204,12192495.614439337,64217023.49162452,12405459.747386906,143758.073522846,103149.10354499369,107426.44474044656,100819.68343737394
2017-04-06,179251569863.97623,46815269.90298312,196362764741.09442,42830569.797030926,59207559.58666661,12347402.420335965,64716580.646957375,12548154.620016629,144357.5346145012,103371.04647696052,107886.52952294699,101103.24879192728
2017-04-07,179623639514.80505,46759775.64774776,196191468511.89816,42774812.63617088,59325617.73185017,12293577.436400518,64910279.65878708,12499602.71914674,144734.0213605682,103154.12695214314,107747.09264928469,100856.96394313299
2017-04-10,180157246379.61874,46647299.19398271,197745556385.11963,42681112.08871106,61703306.10598784,12339315.548698623,67458613.4965219,12542671.041677846,146441.05394762944,103501.6109654038,108485.30440607185,101166.0609026131
2017-04-11,181105474097.5122,46696078.569824085,199495264600.0904,42737269.81685667,61951683.8100664,12330043.028553229,67907898.71034908,12537826.091346273,145043.14028593065,102125.47197607289,107383.13691141448,99925.45326676965
2017-04-12,182561015343.28757,46731199.006962836,198269070042.85315,42741466.630223066,61946497.83425437,12301467.020817917,68048202.3880199,12510990.475516936,140466.89694015298,99719.27217420771,105302.00552155869,97902.49927496149
2017-04-13,180442814081.06125,46508199.806819275,195208408561.1062,42542662.62523667,61388443.72047846,12233079.883704225,67301087.88917635,12437844.434870368,139433.69805259432,98908.76143762798,104462.8782805466,97208.08169957339
2017-04-17,183020241739.86435,46852374.620938875,198901121599.16318,42857206.71280488,62654937.61220988,12294934.538329449,68746148.46884009,12499165.97609147,141488.70822871051,99425.13425453324,105554.12920879015,97708.99180942346
2017-04-18,182342067421.16394,46315040.42821387,197429342056.13144,42561874.94672242,61646701.056811996,12161471.665145602,67778947.28132468,12373752.36210049,139223.2734364947,99060.27923320729,104874.16609462525,97368.22216681048
2017-04-19,182609028778.88354,46273197.681523025,197712675004.52704,42541964.75836261,61969535.14586704,12224073.983869463,67651565.44275436,12429107.774541117,144368.56648585942,99132.59625157835,105025.4910092496,97349.91661620222
2017-04-20,186659616746.9691,46719261.58435611,201417355947.3436,42882655.60919313,63097974.79266457,12401362.551252823,68759771.60103148,12602037.653858459,146268.8504993135,99571.19206307936,105640.14864500632,97674.03157538707
2017-04-21,185281014813.9729,46528605.408968344,199818535931.8601,42711687.807490766,62816088.19547759,12381133.8570134,68222717.01523073,12581089.523553146,146329.76086307227,99356.14259971422,105821.04428550464,97451.65346300852
