Date,1990_all,1995_all,2000_all,2005_all,2010_all,2015_all,2020_all
2022-10-07,168561363.96474633,47904935.980234504,49140837.940026104,12520529.36505719,7891041.933490953,3127518.5556666628,1672553.4540116843
2022-10-14,174158396.14525622,49731515.942675754,49462487.27717582,12707318.422112945,7967256.0091728885,3077493.0703161564,1620152.9576485273
2022-10-21,178201640.49504894,51516807.90501619,50867766.07089089,13050644.985159105,8195880.042091181,3197656.019893213,1706014.2689138583
2022-10-28,183729181.11813328,52697331.750960544,53664127.53348078,13477984.395056903,8349978.588766119,3330116.7344592996,1789050.655512704
2022-11-04,183881777.83450338,52306149.88479693,53636493.070559345,13239108.61454449,8027540.386597161,3196090.782549475,1794930.6731767226
2022-11-11,188134544.98106983,53221387.517001584,54438885.884803385,13408445.038494619,8385790.850733951,3435856.8111107443,1874747.289790333
2022-11-18,190166131.0333807,53721566.747917086,54856388.533718176,13665703.561479323,8479053.617581163,3449109.358045792,1904053.0181419554
2022-11-25,189860882.55223566,54263449.41194634,55275986.40873947,13837760.885340393,8545840.314492451,3441402.6157634794,1925003.4550741576
2022-12-02,191642833.55034935,54804585.62997541,55959247.98939322,14121949.799159909,8736553.617442051,3502133.574477092,1955140.323646802
2022-12-09,194378111.54701573,54678232.456144,54548734.12477803,13993410.661450278,8683337.107714323,3462738.7084932798,1934303.5642729152
2022-12-16,185674511.73398614,53017640.844360664,53399328.30302595,13758814.131720917,8398690.264522541,3349551.5423887107,1895420.2536072154
2022-12-23,189500039.9350923,53615709.337023005,54323312.13394411,13946561.257619958,8492077.17379376,3356731.234757228,1891978.0962465662
2022-12-30,189067558.19705972,53632880.081439115,54999326.419496685,13962440.261848917,8493248.70091167,3362839.0178270093,1907760.147133445
2023-01-06,192551938.58573258,53643413.53841686,56024041.12162062,13860949.97954629,8422131.1019845,3457860.3409189093,1930997.2251085984
2023-01-13,198132887.58242106,54517231.16333861,55339547.61177769,14060526.533291712,8659176.388672994,3512003.3988492973,1949312.9788061674
2023-01-20,197216145.85673097,54458897.51977275,54556381.125679426,13896813.408911072,8697679.01600354,3563350.882375424,1962957.1425286857
2023-01-27,199009510.32676876,53901174.57154579,54841745.61415553,14011791.730617078,8711591.637721676,3593969.3573302496,1964155.6958552664
2023-02-03,200661118.11114928,54426897.672977254,55788118.795884706,14167448.778820004,8963545.028616646,3710673.4167468357,1999261.8703123925
2023-02-10,199750536.3020708,55012696.51884215,56907052.60846801,14380074.621501211,8929027.800644508,3697532.715796606,2011472.9708848945
2023-02-17,200789231.2718706,54921210.85257657,56907697.009196535,14387481.711132118,8907859.935073674,3701520.5861449214,2004953.577003641
2023-02-24,196190335.95761088,53018011.22791347,56067690.6166659,13961577.659417482,8642860.987130132,3623061.7552336482,1996911.3912209286
2023-03-03,201814939.52016765,53861350.160661526,56145622.7813691,14048742.792885017,8779284.891224537,3700768.3818819555,2033261.9092653892
2023-03-10,191244099.39500436,52717338.91341044,54977800.43601535,13582103.616122765,8533897.546921266,3596405.4997825227,1972468.366318867
2023-03-17,193729437.1827942,54811129.096941784,54800094.23532312,13872099.992458405,8954090.937002389,3698435.031494341,2025439.9254776388
2023-03-24,196137473.680141,55182507.63071071,54674354.90576265,13925208.404417869,9044131.60564749,3712367.668275523,2028903.8943254994
2023-03-31,201308818.0576401,57585642.87508969,56958205.477686234,14311547.553915381,9198822.352654364,3821450.343442859,2099021.781748726
2023-04-07,198905496.14618772,58100256.864203885,57260100.78374531,14466956.858291833,9288250.719611194,3793070.8469163845,2082761.0719127154
2023-04-14,201104228.5367184,57981618.843355395,57956390.613405794,14521910.547811965,9330985.974548265,3814103.3184144944,2091511.3399270358
2023-04-21,202255072.55428377,57220596.58958211,59059002.21359717,14546562.623344595,9390106.872066438,3846401.632993131,2099698.26764366
2023-04-28,205364129.23293328,58086158.436911255,59299697.76882408,14587571.22786358,9465607.347528761,3874970.1744112,2113565.482375802
2023-05-05,203764606.59286132,58375402.00798512,59304013.81035279,14423421.056236265,9394575.149153933,3875067.1123587186,2088357.4208436038
2023-05-12,199282254.59725165,57471305.2650211,59186110.714177646,14261636.197115818,9357884.008283364,3867435.797779351,2111831.989268787
2023-05-19,198050981.5231073,57096986.73959262,59289746.08498894,14244403.769077092,9353283.872232389,3892996.5748227243,2106647.8970038835
2023-05-26,195190525.44237295,56456277.744157024,57185469.15511169,14204440.484379897,9336404.761754312,3842124.6146758217,2053444.0468289843
2023-06-02,200232905.99231178,57699662.8056266,56333372.49461119,14487215.534563512,9504106.760787455,3856214.257834155,2062684.727185818
2023-06-09,204446630.04329982,58771932.57505804,56428395.658065066,14618504.988531206,9488910.06655307,3870796.72140692,2111435.7652389547
2023-06-16,208813831.20162082,59145037.43567996,58096238.84179987,14603508.809723193,9610853.24101249,3943999.0552360807,2119900.7182308454
2023-06-23,207793399.70420814,59153781.382898234,58152636.70442171,14700964.266953459,9615073.555923743,3925393.0134292156,2104307.799120448
2023-06-30,209999239.0728646,59700553.4657547,59497237.36018761,14947645.715437619,9732133.68324424,4005411.264653841,2175213.823009269
2023-07-07,209808084.07956797,58748819.61173356,58890966.76535773,14720929.255591221,9644304.646354005,3955849.0679549887,2137739.3362196786
2023-07-14,211841734.1585045,60705587.479104266,60043403.46585453,15041433.415773382,9854158.061425336,4049098.1124345595,2223416.2249050736
2023-07-21,212348409.32168442,61592846.15390752,60042300.969092965,15448639.752290655,10001260.929483235,4075706.946399834,2218052.7291047513
2023-07-28,211803206.33830303,62137398.54340045,60051309.611192055,15483380.85789956,10070794.775589023,4117252.964153864,2194318.550596598
2023-08-04,210201371.18922243,61812508.80749887,59868882.047990255,15308243.82213638,9971708.799915122,3994734.4930452025,2237302.5767646986
2023-08-11,210166096.81309384,61709063.66253651,60214932.840712495,15246059.936662171,9959072.143590804,3974452.403453427,2221633.726141614
2023-08-18,205849088.68789387,60392205.65372032,58822632.22605449,15037353.197773911,9845276.05053136,3927604.0348137296,2253196.9824083527
2023-08-25,206121650.71877062,60518100.37622245,58520214.73990908,15169295.5233393,9979607.748797473,3932198.008532182,2242802.423102657
2023-09-01,206221032.0575372,60528583.10957546,59582997.31289506,15230173.24952618,10135316.3757371,4034927.8101103073,2292061.9994138773
2023-09-08,204600201.2949615,60654176.59213153,60103012.64120363,15160304.35442076,10007951.662839888,3900605.697214216,2272730.088891675
2023-09-15,204907425.1181737,60453688.38000901,59027639.63090836,15209234.710250687,10014676.722296579,3849772.37248799,2223247.2945032855
2023-09-22,199860786.37038878,60579160.83905172,58644876.73871729,15097616.727665156,9881251.887056503,3793202.5571360774,2238729.8498410643
2023-09-29,197398052.56734514,60394159.09539394,57717411.638440214,15001952.46665407,9805740.699554214,3766948.761909373,2246820.770736384
2023-10-06,197483493.26295343,60624837.34380483,58524402.553483695,15123565.430254847,10026100.451062575,3830516.940703973,2279728.2724254797
2023-10-13,199209890.73040557,61018444.13577176,59067142.809211835,15117244.363635086,10067503.498022253,3810976.225330686,2284562.047310931
2023-10-20,194544210.83700657,60131095.44006911,58539462.28661155,15001795.21661941,9989952.818867138,3725494.342187345,2237697.9545984096
2023-10-27,194602850.08468965,61416906.16747568,57858402.24552326,14800754.806475267,9728296.470007844,3659426.0231790803,2206262.0511951256
2023-11-03,202524710.66996574,63084640.054254584,60068653.54394897,15231689.11316037,10106869.280520534,3895214.712098786,2295366.1532036006
2023-11-10,202468594.61083442,63582252.51398639,60788078.51356095,15300484.650563281,10149210.17168806,3959435.905907911,2323754.9413273153
2023-11-17,210641078.2255387,64650813.18307351,60992358.1947052,15486108.082112798,10306620.833800074,4020086.490283338,2342708.464766704
2023-11-24,211910783.1425749,65277769.0463842,62035959.79509792,15664865.62391127,10435240.898286643,4038056.6205394804,2348580.135456501
2023-12-01,215817981.40598932,66518821.59873273,62294291.19192272,15857880.23638356,10453206.018902099,4094897.992847657,2409879.5014210213
2023-12-08,217797624.5923369,67038372.4452353,61873191.77529848,15812779.98571024,10496914.123424336,4131561.6806984097,2436936.194713611
2023-12-15,218856555.7661392,66461415.96509316,62397997.84926675,15909666.380423648,10518952.866955591,4229380.8829038935,2462923.4500031048
2023-12-22,218575769.5490045,66448514.83083792,62873243.76716704,15932004.222379327,10651879.67964478,4252805.3812056985,2466659.6558055016
2023-12-29,219444553.82316238,66774382.71127,63009039.17725718,16006891.417035416,10681719.768099828,4263466.148220195,2481932.6567640672
2024-01-05,220408481.85182974,67764660.36322045,62555056.47839952,16240637.699659768,10603357.65669611,4219676.469103362,2476855.1934719733
2024-01-12,220438867.92616755,67377751.85868976,63055971.149581,16144676.686210133,10639359.20794788,4266601.099572361,2537223.5121619706
2024-01-19,221985767.2714658,67732336.40148719,64273496.88244084,16150785.900076091,10775767.22869611,4374639.68670688,2570767.7725772844
2024-01-26,224476760.83320013,66647654.32249002,64993296.46565925,16193137.970527772,10858439.604495015,4369620.576809068,2580328.490488505
2024-02-02,223965557.84697187,66365073.41361227,65332349.546887755,16269604.059625665,10769501.02675194,4392183.428328001,2598356.258589027
2024-02-09,228933072.93283084,68474700.77425814,64796787.30759887,16506426.478445165,10973724.21849972,4424873.5532837575,2642404.68879738
2024-02-16,228596680.10647044,68070278.20577715,65432592.873304345,16567270.126724737,10854073.677495234,4454499.94907481,2631301.0128345946
2024-02-23,230583906.33038828,68391848.18834531,66934114.67625766,16750875.78465315,10956836.929635186,4488029.872993581,2675071.631674944
2024-03-01,232920297.98728347,68567424.39357226,67789994.84368566,16464209.221891148,10802501.068270423,4515633.238057448,2711147.397725789
2024-03-08,233423523.4137419,68522985.38907143,68096923.740953,16697640.023215024,10790051.639106067,4528590.2436620025,2676836.0219196198
2024-03-15,233164607.13293087,68250994.56696865,66824412.94405422,16784801.158268392,10835195.825429957,4531702.378610419,2706677.4102639696
2024-03-22,235639742.19979388,68296359.75480416,66950948.61191267,16954545.27659157,10852277.345813315,4557785.554386452,2761362.748198109
