Date,1990_gro,1990_bench,1995_gro,1995_bench,2000_gro,2000_bench,2005_gro,2005_bench,2010_gro,2010_bench,2015_gro,2015_bench,2020_gro,2020_bench
2023-05-12,66232669.89906787,11691341.432077365,33256235.804372903,14853323.832897898,37112604.2695709,4325676.527536516,10254704.924382282,4943192.47862693,9100805.902935449,4620348.143352936,3267709.1786533343,2341594.052882461,1857598.1835508896,1330649.1643181602
2023-05-19,65041357.41630509,11850616.980553163,33154227.55707478,15107022.175714457,36689021.694620185,4399560.122814085,10282657.985498836,5027623.394842016,9146006.07841419,4699264.800687774,3295289.9092231793,2381589.0423843823,1879002.688777557,1353376.9720233998
2023-05-26,63853656.48074408,11886854.048277965,33093996.179631934,15157545.4454706,35193576.690941945,4414273.82087502,10268459.78938426,5044437.560470119,9136145.785811301,4714980.818074865,3262868.5660062577,2389553.925485573,1901567.2117263528,1357903.1472711735
2023-06-02,64959900.02991524,12080019.039090084,33767232.567334,15442637.678864632,34696619.46846665,4497300.138489137,10469295.629484212,5139316.376799903,9296499.771078676,4803663.013795192,3256160.975442878,2434498.093252243,1893458.8054541862,1383443.4065684997
2023-06-09,66345693.0208497,12264139.94455788,34239666.401746236,15514091.738866536,34919409.88363738,4518109.430309924,10549683.265974067,5163096.318309457,9319723.051236674,4825889.86599198,3272398.5309248907,2445762.6697091428,1919402.2202076833,1389844.6865983664
2023-06-16,67838512.93450253,12463862.000755457,34778311.72214165,15917999.079788744,36068553.52921387,4635737.815954972,10610287.632300705,5297516.85287605,9455463.772459734,4951531.274858539,3341940.461351433,2509437.7796077253,1926119.8503282687,1426029.1104826499
2023-06-23,67503832.83854683,12235562.677483317,34582181.587021045,15691613.341456898,36028088.5823048,4569808.365719588,10637644.012902979,5222175.583030992,9410543.142239595,4881110.6109350575,3324509.821882828,2473748.562534227,1916871.9547879277,1405748.1284671887
2023-06-30,68558569.71497314,12593882.631324392,34924818.12655473,16056364.660674969,36851752.009797186,4676033.493352973,10856439.44838328,5343564.976947968,9539056.344484497,4994571.9546379475,3416193.7219673092,2531250.8111535134,1989600.1657136797,1438424.7228484733
2023-07-07,67940422.93885168,12463692.243011316,34326318.72207325,15885036.699447762,36218456.697417304,4626138.308360791,10653566.182712674,5286546.958702041,9386823.833690627,4941277.834314031,3348096.8269204283,2504241.3323583663,1946059.1386933143,1423076.1442410117
2023-07-14,68387434.84241787,12783826.365430629,35112325.19570584,16273697.447848007,37088788.616993405,4739326.487346432,10910147.556111766,5415893.420803296,9651647.688073676,5062176.56293987,3440365.08434328,2565512.850254392,2017140.8442020537,1457894.6876108535
2023-07-21,69248429.54347683,12873851.795451233,35655629.48207474,16378739.218784247,37120155.26765168,4769917.399391545,11166827.736226823,5450851.366773857,9771634.77659553,5094851.374098624,3443988.6012107655,2582072.4559625606,2000348.158538344,1467304.9547192315
2023-07-28,69283044.02161555,12970857.995145515,35688160.61935941,16550432.051807206,36949903.92180069,4819918.844597279,11207434.68632958,5507990.814508342,9964845.986295724,5148258.99324227,3489895.4374318253,2609139.45599919,2007668.5701531493,1482686.2207140797
2023-08-04,68951354.19381063,12771530.660206672,35373876.0138366,16184228.129779622,36585632.43081202,4713270.68101937,11046181.8314052,5386117.993759555,9725466.495558219,5034345.795747631,3405098.239457972,2551408.2077204175,2032333.2516735375,1449879.4935264068
2023-08-11,68316266.98840483,12690353.335045287,35184670.25439759,16142212.798279826,36787322.65504207,4701034.717183263,11017597.842503158,5372135.273595816,9721184.098437006,5021276.299581562,3391376.3062081276,2544784.5824984387,2018193.8075002218,1446115.510031687
2023-08-18,66725724.550859906,12436105.91951637,34409709.896458305,15810781.846824985,36368855.607978344,4604513.3524479205,10915311.018649928,5261834.912218985,9581626.110863842,4918179.753755745,3332616.854593986,2492535.2170635494,2021758.8788184046,1416423.9525362689
2023-08-25,66877871.531588666,12530908.028825348,34405327.34870063,15936471.001297707,36173386.09617974,4641117.322803994,10971278.645307306,5303664.316197806,9677120.080102546,4957277.2418359155,3327677.220465695,2512349.8376788553,2008257.9229415543,1427683.9351667257
2023-09-01,67261959.80979592,12763984.03138586,34668647.02813167,16342880.811988909,36899333.81535011,4759474.493121239,11107343.365223825,5438917.673766123,9868228.044881344,5083697.081286837,3383504.329979157,2576419.456469489,2071255.8308465779,1464092.5451890281
2023-09-08,66486043.45887307,12683964.64725971,34900389.91774498,16137502.739406958,36904849.90462525,4699663.024803909,11013683.433283841,5370567.764002934,9692541.497822436,5019811.16544639,3278817.1293846406,2544042.0520069804,2039452.552896471,1445693.554920927
2023-09-15,66261873.34325848,12588059.802685952,34565387.45775768,16116273.626309322,36194569.72142111,4693480.55162417,10996173.161410023,5363502.706149708,9711991.026221657,5013207.532859558,3219740.672021613,2540695.328705406,1986128.1495604515,1443791.724601977
2023-09-22,64411092.50303066,12259927.74427238,33986585.297433466,15645548.850940697,35729760.25581257,4556393.180834334,10822431.940913334,5206845.301027235,9514399.905099655,4866781.563401628,3148091.4873967892,2466486.596239323,1961137.727604331,1401621.3972048997
2023-09-29,63614214.811774336,12121286.732647337,33893173.41315812,15538679.278838929,35108652.15142045,4525269.965266611,10721035.824182404,5171279.062052664,9449668.87206945,4833538.187400649,3126126.2941587456,2449638.841670522,1962477.0344861506,1392047.3847880096
2023-10-06,63830734.11517399,12254897.118439926,34434767.14246325,15613560.60945064,35082959.42357467,4547077.367961244,10786003.674674997,5196199.600676454,9634045.189848332,4856831.143290922,3156146.362893975,2461443.7198516564,2000163.4273792433,1398755.7001201517
2023-10-13,64465488.10452685,12362219.896487454,34880207.30509032,15684804.696060648,35431567.93343518,4567825.510036495,10806815.453875694,5219909.662952025,9667809.200244116,4878992.680129185,3166063.698069595,2472675.1944620432,2011795.7420689045,1405138.1694836924
2023-10-20,62873536.88074202,11919613.152464278,33904398.741202585,15310042.350371012,35127853.21774168,4458684.909562701,10653460.483090688,5095188.595174419,9549375.224716997,4762417.257174317,3067805.266423144,2413594.7293901434,1944773.6164304942,1371564.7277598048
2023-10-27,62574103.86691743,11777663.93504489,34291025.09887429,14928006.664073555,34785313.42535353,4347426.1220017625,10505359.663531749,4968046.956554114,9297894.798867822,4643579.353029959,2998819.4066379755,2353367.638061154,1894874.9138257126,1337339.6968892398
2023-11-03,65136954.56661825,12340597.176345604,35622429.444077566,15800761.64118875,36515210.173224136,4601595.206394593,10953481.623223852,5258500.183528452,9734498.172816971,4915062.819187547,3188735.9522838737,2490955.5535356794,2031718.4108876504,1415526.282869455
2023-11-10,65010730.29924292,12469401.899820331,36237925.273957014,16015947.651223872,37332886.64426478,4664263.002716486,11049543.07045697,5330114.179040716,9867755.536835715,4981999.640408614,3257511.7485519815,2524879.157910731,2080641.0896889472,1434803.9265569912
2023-11-17,67080100.78709318,12853330.430429904,37120462.95613195,16385987.316689214,37621739.74454464,4772028.23514316,11244948.862170877,5453263.5368343275,10019399.521353368,5097106.003168509,3362145.746472979,2583215.1027626926,2137390.4834088683,1467954.2824743283
2023-11-24,67558008.13111351,12861952.19163027,37483113.82757828,16549921.460772268,38246402.54729796,4819770.147128628,11387607.154837472,5507820.889595105,10118294.259369986,5148100.166277556,3384721.583410726,2609058.962437996,2157691.232098216,1482640.4789298438
2023-12-01,69100444.9251186,12916644.54841723,37763969.62029788,16688051.825563747,38335713.2289592,4859997.323445565,11524774.874112053,5553790.733650813,10142287.302803483,5191067.678578838,3410431.2757593454,2630834.9126803135,2173354.3189973803,1495015.019237761
2023-12-08,69657163.09443457,13065490.346710354,37944411.824429944,16728036.266879627,37971935.80442714,4871641.838923218,11492063.057053404,5567097.572698985,10215160.574374264,5203505.436031325,3449112.077984469,2637138.3725015908,2191219.6596379103,1498597.0635008009
2023-12-15,71814703.80040175,13399361.044962425,37849995.11000807,17129072.824050333,38254598.40627132,4988434.177227668,11656428.882590553,5700562.709214083,10276233.936201524,5328253.844750212,3578587.679632471,2700360.9096134184,2253161.2980003417,1534524.3054880993
2023-12-22,70756576.93067876,13439129.901851904,37767429.85029157,17286738.746057265,38322962.41533761,5034350.618940683,11724479.050742336,5753033.995006308,10361009.312008161,5377298.183795813,3599774.7213117457,2725216.597772318,2258096.1338083544,1548648.95729804
2023-12-29,71132607.40841661,13482093.7927063,38131566.91049538,17347325.82248184,38530331.92218166,5051995.160816313,11820730.98114368,5773197.399766974,10404510.061832981,5396144.698503145,3618146.352651312,2734768.0180088514,2272993.0515670003,1554076.70825263
2024-01-05,70955246.73198794,13464314.77433218,37995795.18472785,17077613.279497534,37960039.446152024,4973447.811448937,11785963.080973094,5683436.95093609,10239365.575059159,5312246.5851087235,3530263.0912283934,2692248.424835972,2212221.006725466,1529914.253170805
2024-01-12,71117335.17669645,13521665.28896641,38158589.655721165,17397324.73245604,38423549.96279043,5066556.151589218,11829632.244889466,5789837.058236991,10358842.045502,5411697.605951193,3575272.309017316,2742650.2369359625,2261543.7302118503,1558555.9082298514
2024-01-19,71652036.27079774,13709912.825775506,38442827.92251571,17607183.384794027,39576929.74376316,5127672.481962915,11913127.720662823,5859678.106845539,10553917.006296113,5476977.273021322,3705711.9072642224,2775733.9950084947,2361592.9139220794,1577356.295503439
2024-01-26,72712758.33100401,13928969.32292969,38336874.163207725,17788936.58229867,39872009.68563041,5180603.768528499,11976133.535917724,5920165.648151374,10630721.969725182,5533514.318741626,3664249.8999813613,2804386.989527245,2359134.930332747,1593638.828833524
2024-02-02,72896124.32947616,13971027.839148672,38563059.896739386,18042225.304891694,40526809.47195263,5254368.071679532,12110401.375595426,6004460.242582133,10580825.972359715,5612303.557590167,3721143.171856839,2844317.4032958047,2410235.2228297414,1616329.9403208483
2024-02-09,75535681.94089857,14194408.328273524,39503618.67907256,18292229.03392734,40379363.770770244,5327175.698756973,12378094.781180548,6087661.58976212,10810176.07404342,5690070.950146625,3781668.6473259036,2883729.9450066183,2478755.372625314,1638726.7625311674
2024-02-16,75345823.37400281,14148420.54134261,39085316.45640323,18230549.63690667,40642657.5442809,5309213.0445439145,12338760.760363573,6067134.66024325,10663519.868503597,5670884.652809163,3820669.874221658,2874006.322814453,2489459.322268542,1633201.1549954705
2024-02-23,76449519.76696056,14329205.638130834,39560514.088955775,18534936.474443488,41298822.45728244,5397858.455714971,12533591.107924215,6168434.729024655,10810032.916474428,5765568.7232230455,3872444.637351114,2921992.2427721983,2545222.08246148,1660469.9397842817
2024-03-01,76862013.98628943,14502812.604616012,39143600.86858129,18717417.12074847,42411412.12931561,5451001.594404431,12450916.001905438,6229164.365600133,10625568.428805625,5822332.052753752,3946037.7397583043,2950759.918005098,2598003.4211276257,1676817.642308087
2024-03-08,76838431.40360835,14466038.660773564,39056020.77535437,18676176.281267967,42559652.551982984,5438991.182908413,12466673.748776002,6215439.396709279,10604498.01095278,5809503.47389371,3952527.1451192927,2944258.3897579634,2552111.8485704716,1673123.0424186694
2024-03-15,76722300.46364208,14555017.941444103,39260404.08070014,18665010.974838763,42571703.76969209,5435739.553543369,12521211.992774306,6211723.577988614,10635824.558202427,5806030.338627119,3930748.649044098,2942498.203591731,2560970.709504477,1672122.7878065354
2024-03-22,77178645.80433899,14749398.839350432,39523857.895279,19081636.048415508,43437336.42473819,5557071.675688484,12646961.235261554,6350376.579382858,10751483.070655717,5935627.7881159065,3959067.8898851825,3008178.236259456,2637356.297154875,1709446.5418851352
2024-03-29,77311890.03455733,14821701.83691163,39576856.86489878,19149731.681542654,43147844.95312941,5576902.9057323225,12646287.369334418,6373038.835002433,10753726.60971858,5956809.951490855,3980976.4155364176,3018913.36405655,2624548.7330170097,1715546.954044309
2024-04-05,76114820.2456309,14704740.131343154,38161352.94490898,18979857.47052054,42089563.13577577,5527431.090836278,12273127.09101601,6316504.625442057,10587432.684803154,5903968.041873213,3928981.858093679,2992133.0658052955,2578866.6536226375,1700328.6110337614
2024-04-12,74252620.87903242,14307413.160244841,37226812.56655482,18702354.11151997,40783584.405281894,5446614.852003415,11969537.007225234,6224151.3897328125,10537785.856457492,5817646.478837422,3844400.4088117587,2948385.267507689,2499587.945021584,1675468.2082778648
2024-04-19,74919635.11673278,14162638.787522564,37624075.6354236,18127939.19721321,40830939.69022786,5279330.199770873,12048689.271253401,6032985.862342683,10411583.292081013,5638966.14353407,3710843.9242987502,2857830.0111650904,2406761.814257085,1624008.7010124766
2024-04-26,75116735.88956176,14461035.637826338,37515579.074080974,18607533.340447187,40502087.45728332,5419000.562544244,12239229.399858622,6192594.996856866,10753057.368771102,5788151.062289169,3868925.072470731,2933436.980098645,2508155.8115064846,1666973.5991784157
2024-05-03,74773562.15382849,14643545.914941192,37578242.06398836,18718461.250730034,39546046.910109065,5451305.672374032,12246481.73848306,6229511.852501357,10784297.843632631,5822656.844973729,3893992.658332173,2950924.5228156284,2511651.1150891636,1676911.1816870866
2024-05-10,75556662.66370244,14758528.493638957,38035042.48407304,19068091.04354481,40000600.41862855,5553127.01587404,12500536.405121265,6345868.796010392,10972130.669095201,5931414.4121193895,3953296.1848939722,3006042.89583274,2568313.9395093736,1708233.099721304
2024-05-17,75538370.83964173,15003617.271849861,38548167.776436605,19383304.705813512,39863661.32951788,5644925.481683731,12697517.766147517,6450772.0366598675,11223727.386371715,6029466.328014266,4051827.899130328,3055735.6410566,2645357.1710540596,1736471.8159169692
2024-05-24,74666230.87973873,14993979.724473177,38215016.07123034,19382937.539226588,39328550.55440304,5644818.553166947,12765447.784398636,6450649.843463833,11280989.456504945,6029352.115365483,4073346.778481382,3055677.758046304,2617940.8311853614,1736438.9229485297
2024-05-31,73813925.61300296,14933717.105447594,37511415.26430964,19307156.650476918,39297449.76163209,5622749.175606198,12690950.975351518,6425429.931509759,11226809.350482127,6005779.338485693,4017134.954601463,3043731.066489943,2565021.9126226534,1729650.019843711
2024-06-07,73946242.37794866,15152463.070142986,37915612.5408541,19550246.173722576,39738991.89306085,5693543.2050519725,12853445.29486991,6506330.2280669175,11347021.636961978,6081395.964099753,4053736.4526337013,3082053.5987631124,2606704.9962518555,1751427.4263421076
