Date,1990_dow_ds1,1990_dow_hammer,1990_claude_ds1,1990_claude_hammer,2000_dow_ds1,2000_dow_hammer,2000_claude_ds1,2000_claude_hammer,2015_dow_ds1,2015_dow_hammer,2015_claude_ds1,2015_claude_hammer
2021-07-15,40672842.9598928,31618344.575519208,30829170.410784796,11567660.427304743,9304702.341590663,1136222.3851674455,8415263.681745525,1551522.114310924,331488.3865081921,345533.51173970965,306814.146803464,260934.47274618794
2021-07-16,40517316.563318886,31249474.40617901,30726491.634861622,11644914.244262489,9283855.655639157,1142734.4405371211,8397363.289513247,1561957.6139383395,330388.52396073565,347060.04295247636,306024.88628392824,261128.85666324545
2021-07-19,40179804.65672627,30199583.84925835,30494665.06922843,11644900.54742693,9287599.355913566,1156206.1410329882,8390155.976449978,1574428.109515906,329589.17866476125,336152.882974676,305426.56537169276,264412.95412471687
2021-07-20,40357755.741041064,30308153.654309906,30599415.830685493,11612619.606882505,9344993.667919178,1156584.2347158506,8441030.99333217,1563301.4951308891,331546.078829456,346984.02995320567,307087.2558309303,262271.6937269464
2021-07-21,40494006.32811108,30338228.491417058,30695059.809166227,11583188.275960837,9377698.696500154,1155133.370841432,8472693.936899237,1555741.2023370329,333183.92278856656,345866.8754910832,308518.52096508926,262180.6435095694
2021-07-22,40459256.698508404,30227771.640892882,30669135.314715263,11478700.711709715,9387933.520815955,1156625.4916455299,8471475.764142266,1547397.7784658081,334031.4200528995,349125.99000157934,309410.74296454864,262625.2506489064
2021-07-23,40730739.83000802,30351062.75632204,30880178.384652447,11631910.22377129,9429426.506286897,1156865.0381754765,8501916.614053542,1558006.0097585628,336602.6805347946,356221.0686839118,311281.557665875,264263.394085887
2021-07-26,40809333.38844562,30376907.747148104,30930335.058874816,11677396.876812223,9452638.590848098,1162398.9334282377,8524230.136244059,1563220.8429166528,336972.04029758915,355873.35404394934,311806.84417189163,264421.18012361124
2021-07-27,40951643.17430958,30585129.92224298,31037934.87635627,11729615.181693649,9440150.2477633,1177521.4988050563,8525128.39959679,1573576.6130854622,335540.5552463708,358008.32868783403,310860.258089291,264648.8136427116
2021-07-28,40904666.89780655,30340217.55958122,31018413.820127886,11562679.074686479,9439773.399720645,1178179.9923442951,8518910.307841832,1555279.1030641668,336331.9270895603,358804.53165407747,311661.00349845085,265492.20429826924
2021-07-29,40854388.83261054,30389010.478600055,30962498.880791403,11623044.780812096,9486264.25013745,1179655.5791734867,8546280.852091385,1557626.5327374926,340082.98342889216,363200.66880375316,314901.33114857983,271686.99939116073
2021-07-30,40765793.42248446,30392599.277896207,30941212.48468513,11852487.129599847,9476270.443227412,1178319.1443521932,8544649.372648763,1571958.0136058603,340235.2053570875,364706.8070049935,314174.01791241235,273242.77967606246
2021-08-02,40703598.44521504,30492459.041675724,30887275.922310006,11840795.903347857,9461524.265119297,1187475.6412973301,8544213.828309508,1576394.8008433348,339802.0712804466,367493.52036936424,314024.79640043154,274270.333355149
2021-08-03,40668257.737696156,30248345.53365778,30902226.019001417,11869940.006766545,9508360.012682172,1181521.229545109,8573795.093621114,1580924.9176063803,340735.05217665236,370740.74358521437,315094.00585200224,273149.9245986467
