Date,1990,1995,2000,2005,2010,2015,2020
2009-09-18,43556590.00378344,6687825.6784211015,6910626.941051075,1542919.2502314616,,,
2009-09-25,43945579.9441689,6617575.329387362,6811339.975431627,1495679.0650296481,,,
2009-10-02,43429161.32038767,6475436.313036365,6759218.109522254,1448787.306643477,,,
2009-10-09,44792339.8049333,6726646.34380816,6921158.82744184,1494637.5664626325,,,
2009-10-16,45943708.243990794,6843499.23844446,7033087.23974309,1514209.935798626,,,
2009-10-23,45106977.96880109,6778752.233772186,6881688.299762547,1514825.456798751,,,
2009-10-30,44608714.05867676,6673837.715636578,6725893.472094015,1510984.0849601864,,,
2009-11-06,47177251.05401677,6990221.4737250395,7032071.56576287,1591595.1742749903,,,
2009-11-13,48820220.171473175,7165688.818652978,7127391.766807041,1621777.4821863999,,,
2009-11-20,48775674.62742469,7106828.863700517,7134501.9844260365,1626027.9040443255,,,
2009-11-27,48806464.363330044,7078403.9342899555,7203755.152800845,1624028.246579188,,,
2009-12-04,48486345.63877568,7212137.134963065,7106622.28665151,1631812.571731055,,,
2009-12-11,49511984.854436465,7292400.606303692,7274531.832952995,1668356.3012927095,,,
2009-12-18,49721855.31855998,7385151.18981702,7295975.690840927,1672902.6322923023,,,
2009-12-25,49899530.232666686,7435692.643909561,7348167.161475196,1681873.1532656979,,,
2010-01-01,49828322.27919355,7455022.869255793,7309758.851734991,1679428.5930883486,,,
2010-01-08,50022647.54057117,7534004.167361472,7427276.103477591,1730220.4770515957,1000000.0,,
2010-01-15,50047277.585581504,7566968.07067552,7443119.769405553,1737502.8776134802,996470.0349023871,,
2010-01-22,48405946.629429325,7399726.009275857,7320745.29789423,1689328.2560214642,989257.7690127031,,
2010-01-29,48581343.624956354,7344540.686175851,7430320.203403132,1686540.3126327759,984355.1904748717,,
2010-02-05,47929352.208812006,7279767.2343554655,7350602.444536796,1672757.6972822847,981282.9314005723,,
2010-02-12,49079027.86315646,7427740.617598518,7477925.666267389,1689411.0729109098,985367.4703038848,,
2010-02-19,50163893.03218527,7618710.256596966,7687856.341710768,1737446.646263237,993967.1174679688,,
2010-02-26,50281125.413339935,7692127.805977164,8043171.332064439,1754194.7444259773,997699.4828379937,,
2010-03-05,51752026.71120976,7736319.371626205,8169496.30594796,1769434.6947862154,1004116.4599058514,,
2010-03-12,52508666.26681495,7815226.002357741,8218500.403396213,1786090.801445761,1008933.1079671757,,
2010-03-19,52984778.50860505,7977759.482366774,8313121.9439259805,1812493.2339712083,1014454.2783284204,,
2010-03-26,53611778.62283001,8003015.96463335,8471066.977180168,1817629.9656933015,1017820.3303278363,,
2010-04-02,54299596.998659246,8062695.863314399,8508258.931041555,1834445.2296892959,1021026.8775793951,,
2010-04-09,55272167.679759815,8108129.3319952,8577554.600731522,1849913.7869337623,1024984.4632237254,,
2010-04-16,55649780.075617075,8188929.373663538,8646405.333766855,1850783.5247463277,1026915.3454616878,,
2010-04-23,56746415.64692497,8225767.43876018,8911390.312193817,1839505.4016601662,1029413.2812045692,,
2010-04-30,56985909.501139715,8180148.543697614,8774241.623475598,1829721.0675609885,1026209.829049879,,
