Date,Defensive
2002-05-03,1398554.8330283042
2002-05-10,1400631.950948602
2002-05-17,1400966.5124876236
2002-05-24,1387766.3423423972
2002-05-31,1371292.4756938783
2002-06-07,1359664.4010001398
2002-06-14,1372621.7368425783
2002-06-21,1346883.1768344953
2002-06-28,1302530.2470636694
2002-07-05,1254957.739943971
2002-07-12,1193034.407742336
2002-07-19,1241223.7202709229
2002-07-26,1272317.1423206732
2002-08-02,1295557.1845642698
2002-08-09,1292568.4265454314
2002-08-16,1315104.0448939719
2002-08-23,1280012.312325528
2002-08-30,1264442.4206619011
2002-09-06,1276017.7168627682
2002-09-13,1244619.6564150262
2002-09-20,1269153.3391269944
2002-09-27,1261853.0516078975
2002-10-04,1251963.2632286714
2002-10-11,1299339.9605325356
2002-10-18,1291532.9538867625
2002-10-25,1286405.092144034
2002-11-01,1311815.3149044027
2002-11-08,1284138.6807685294
2002-11-15,1289521.7746599643
2002-11-22,1267144.8523056556
2002-11-29,1265658.2727832403
2002-12-06,1263946.017370019
2002-12-13,1245417.7810807442
2002-12-20,1248734.9848636864
2002-12-27,1281827.1247782456
2003-01-03,1267585.689257928
2003-01-10,1259807.8140656138
2003-01-17,1232284.955120365
2003-01-24,1205758.6225451415
2003-01-31,1207168.689945003
2003-02-07,1184190.0443085276
2003-02-14,1193723.935522573
2003-02-21,1192485.0364341019
2003-02-28,1169704.9441740585
2003-03-07,1183238.569115792
2003-03-14,1234348.772147983
2003-03-21,1239739.9777041895
2003-03-28,1251398.96532866
2003-04-04,1251836.041013789
2003-04-11,1262973.3402439863
2003-04-18,1281403.6976616425
2003-04-25,1289859.7659944969
2003-05-02,1298049.2679148861
2003-05-09,1322633.8490331022
2003-05-16,1318707.49958861
2003-05-23,1330809.9297061623
2003-05-30,1367464.399501315
2003-06-06,1396766.3985392775
2003-06-13,1387448.0237614785
2003-06-20,1381653.099928985
2003-06-27,1381985.2449463392
2003-07-04,1384332.1322435285
2003-07-11,1376743.3964619888
2003-07-18,1374957.7267850458
2003-07-25,1356697.1148240524
2003-08-01,1345632.252397438
2003-08-08,1356997.6074910662
2003-08-15,1336880.2084835302
2003-08-22,1340507.0726818256
2003-08-29,1371204.6530835072
2003-09-05,1380751.9407224709
2003-09-12,1395538.5846181477
2003-09-19,1359146.3325771217
2003-09-26,1396174.577771182
2003-10-03,1392013.9159867363
2003-10-10,1413651.7085267883
2003-10-17,1393640.6241259498
2003-10-24,1392028.3304944623
2003-10-31,1398961.883670033
2003-11-07,1418733.6197170909
2003-11-14,1409932.2536200678
2003-11-21,1429651.97947439
2003-11-28,1455698.0218624799
2003-12-05,1446789.0720596327
2003-12-12,1461775.825577958
2003-12-19,1463044.4648561194
2003-12-26,1482321.9292626479
2004-01-02,1482188.7497284801
2004-01-09,1478014.3347360357
2004-01-16,1496913.3541982137
2004-01-23,1518867.3368709933
2004-01-30,1536219.4539999194
2004-02-06,1550132.957515517
2004-02-13,1560499.2027197003
2004-02-20,1569042.3029942561
2004-02-27,1578927.3552904024
2004-03-05,1547226.9280851416
2004-03-12,1556983.9876639042
2004-03-19,1546919.658125972
2004-03-26,1587179.8737301016
2004-04-02,1600962.938969153
2004-04-09,1604406.798934406
2004-04-16,1639346.8780193983
2004-04-23,1619196.4999348507
2004-04-30,1631614.6170051165
2004-05-07,1603633.3278942492
2004-05-14,1603493.098596811
2004-05-21,1638483.895243356
2004-05-28,1644429.186055193
2004-06-04,1664243.6906136007
2004-06-11,1662214.0217033597
2004-06-18,1648786.48447012
2004-06-25,1639694.331735054
2004-07-02,1628656.2591426845
2004-07-09,1639602.458867242
2004-07-16,1609039.6342488318
2004-07-23,1607749.294751309
2004-07-30,1590595.8744510475
2004-08-06,1601219.1265257245
2004-08-13,1610042.0564353687
2004-08-20,1625311.4990340383
2004-08-27,1663999.4213234256
2004-09-03,1660488.6836592616
2004-09-10,1662882.805477778
2004-09-17,1627075.694366244
2004-09-24,1639816.8527584877
2004-10-01,1637406.391116959
2004-10-08,1611672.1950400523
2004-10-15,1617252.6164704096
2004-10-22,1646780.2098222037
2004-10-29,1697331.4181827223
2004-11-05,1725944.069083052
2004-11-12,1738378.5668767742
2004-11-19,1727935.387013464
2004-11-26,1760997.329927898
2004-12-03,1779309.5972820444
2004-12-10,1813455.8119523663
2004-12-17,1803158.5829545842
2004-12-24,1821923.0831890288
2004-12-31,1793425.5182006757
2005-01-07,1793672.6226184554
2005-01-14,1810403.5750875233
2005-01-21,1832527.3060821716
2005-01-28,1858440.3954102565
2005-02-04,1849555.7729433938
2005-02-11,1860174.834298355
2005-02-18,1868508.3989833633
2005-02-25,1890972.3469314831
2005-03-04,1883927.1542745295
2005-03-11,1865922.9922017027
2005-03-18,1859234.14146291
2005-03-25,1882704.2034743857
2005-04-01,1921341.733406952
2005-04-08,1898982.100116081
2005-04-15,1872681.731785415
2005-04-22,1881905.9233067336
2005-04-29,1916509.6404580434
2005-05-06,1923517.912084057
2005-05-13,1932874.562545782
2005-05-20,1914186.0144603015
2005-05-27,1928353.4989216472
2005-06-03,1927363.449572544
2005-06-10,1926848.978145086
2005-06-17,1903634.886464764
2005-06-24,1883591.0851719757
2005-07-01,1876761.8847908818
2005-07-08,1881675.1264127311
2005-07-15,1883161.0876932833
2005-07-22,1934240.2595394196
2005-07-29,1923068.3100279428
2005-08-05,1922511.2394350984
2005-08-12,1905984.8277229525
2005-08-19,1880120.3370467839
2005-08-26,1902663.6242543506
2005-09-02,1924352.6522230718
2005-09-09,1914897.6230888248
2005-09-16,1898863.1311880853
2005-09-23,1929713.5354284581
2005-09-30,1923046.1228136222
2005-10-07,1895836.486035908
2005-10-14,1925227.189010066
2005-10-21,1882528.8818358995
2005-10-28,1943080.1380012943
2005-11-04,1977393.3717009572
2005-11-11,1985391.2797807094
2005-11-18,1974853.2994410456
2005-11-25,1986622.3307798307
2005-12-02,1982891.9918500253
2005-12-09,2018280.205853548
2005-12-16,2035611.9453715675
2005-12-23,2021183.5082266005
2005-12-30,2016199.353875538
2006-01-06,2028824.553291525
2006-01-13,2027011.9137714764
2006-01-20,1999564.1222196461
2006-01-27,2017451.6829486387
2006-02-03,2001293.7534630762
2006-02-10,2042012.7032362798
2006-02-17,2047406.5194998826
2006-02-24,2027116.0134489282
2006-03-03,2021672.4343885742
2006-03-10,2033281.3588596194
2006-03-17,2036088.986105002
2006-03-24,2014878.2866075356
2006-03-31,1999804.2622233855
2006-04-07,1969918.837707874
2006-04-14,1965427.8938923553
2006-04-21,1976119.6822641527
2006-04-28,1955706.3098826269
2006-05-05,1934610.6300336244
2006-05-12,1927627.1199658788
2006-05-19,1933009.728405142
2006-05-26,1973143.1835242736
2006-06-02,1959222.134809731
2006-06-09,1945799.770337223
2006-06-16,1949714.7086576864
2006-06-23,1973563.6240537742
2006-06-30,1978049.4854436915
2006-07-07,2006546.205973345
2006-07-14,2041106.9742229343
2006-07-21,2041094.0863227984
2006-07-28,2039902.036241963
2006-08-04,2042535.2238280226
2006-08-11,2069921.1491022178
2006-08-18,2087114.5657703725
2006-08-25,2107323.3719892004
2006-09-01,2080699.1960094452
2006-09-08,2108080.696989436
2006-09-15,2116266.261018692
2006-09-22,2130755.755646791
2006-09-29,2149377.3721012548
2006-10-06,2154365.959938411
2006-10-13,2138137.910776381
2006-10-20,2147240.5024705697
2006-10-27,2132716.9950914797
2006-11-03,2123011.1073351605
2006-11-10,2155977.86596501
2006-11-17,2165879.6823642612
2006-11-24,2156145.1636040984
2006-12-01,2178391.9644654836
2006-12-08,2182037.2007725085
2006-12-15,2184609.693229546
2006-12-22,2186388.331428665
2006-12-29,2186746.235481868
2007-01-05,2218530.465411639
2007-01-12,2229827.9756248635
2007-01-19,2216692.8325849827
2007-01-26,2251942.7518819734
2007-02-02,2232918.842899556
2007-02-09,2252100.4327526153
2007-02-16,2243422.2082162877
2007-02-23,2202033.612030068
2007-03-02,2200653.6325645274
2007-03-09,2196981.894307989
