Date,SPY
2001-11-16,802158.8170716285
2001-11-23,807996.4920713053
2001-11-30,825370.6307705201
2001-12-07,788231.3929724876
2001-12-14,806449.6815943408
2001-12-21,819175.2437773647
2001-12-28,824680.9855586798
2002-01-04,819316.3132959197
2002-01-11,802306.4362464021
2002-01-18,801670.9516532928
2002-01-25,798847.7139432608
2002-02-01,762427.0909903434
2002-02-08,790942.6147671908
2002-02-15,764403.4077693366
2002-02-22,784519.6692054141
2002-03-01,822281.0403742642
2002-03-08,817904.5265010006
2002-03-15,816071.7143691564
2002-03-22,810621.3087858936
2002-03-29,797526.0269063236
2002-04-05,782802.8195766201
2002-04-12,796110.1255837801
2002-04-19,774875.132483591
2002-04-26,769849.3629451689
2002-05-03,762700.2452426405
2002-05-10,781174.8101565351
2002-05-17,779334.608668957
2002-05-24,757391.161087787
2002-05-31,732333.8557943717
2002-06-07,718814.0218399126
2002-06-14,716407.2750894238
2002-06-21,706270.7584216404
2002-06-28,678426.9102870077
2002-07-05,659673.8590288942
2002-07-12,623660.7422507071
2002-07-19,596668.6433193254
2002-07-26,630622.4390214412
2002-08-02,646035.7533977181
2002-08-09,664148.8696552917
2002-08-16,686737.5003589715
2002-08-23,654488.4206276552
2002-08-30,630622.4390214412
2002-09-06,635381.0161741241
2002-09-13,601640.8400286775
2002-09-20,611687.2569384791
2002-09-27,587285.4630716108
2002-10-04,575298.5845521153
2002-10-11,629810.0717254533
2002-10-18,630452.1479597569
2002-10-25,631593.9293755608
2002-11-01,647576.4760531974
2002-11-08,647362.5626016981
2002-11-15,671335.8997909316
2002-11-22,672691.888553065
2002-11-29,652356.7174533728
2002-12-06,647647.5986021354
2002-12-13,636160.2153392612
2002-12-20,640935.8803770789
2002-12-27,652981.2859527844
2003-01-03,665457.4153948158
2003-01-10,659793.0123901023
2003-01-17,636060.0811720727
2003-01-24,605371.9608545521
2003-01-31,605515.2555768224
2003-02-07,590457.9318100176
2003-02-14,604654.7315136374
2003-02-21,604726.5258221875
2003-02-28,593326.4293239194
2003-03-07,601285.1013290596
2003-03-14,632044.8480152276
2003-03-21,627394.2982051759
2003-03-28,631353.6493592841
2003-04-04,629985.9048039377
2003-04-11,644743.6237837162
2003-04-18,657702.0766272831
2003-04-25,661589.2556080591
2003-05-02,665548.8166870461
2003-05-09,684698.332071265
2003-05-16,673611.6114320722
2003-05-23,686930.0014728329
2003-05-30,717381.7463768225
2003-06-06,724292.8092667895
2003-06-13,720045.5251489165
2003-06-20,713832.0846161844
2003-06-27,713398.2958466278
2003-07-04,717444.220020754
2003-07-11,711664.5682575782
2003-07-18,711592.0182194641
2003-07-25,718094.9031750886
2003-08-01,708051.9290332993
2003-08-08,717516.8540288195
